feature;value;class;
forearmLeft;0.311408;p007;
upperarmLeft;0.25962;p007;
shoulderHalfLeft;0.177871;p007;
neck;0.0748406;p007;
shoulderHalfRight;0.169004;p007;
upperarmRight;0.253718;p007;
forearmRight;0.308666;p007;
shoulder;0.321606;p007;
upperBody;0.228016;p007;
hip;0.144168;p007;
lowerBody;0.308741;p007;
body;0.536703;p007;
lowerLegLeft;0.472153;p007;
upperLegLeft;0.341764;p007;
upperLegRight;0.335042;p007;
lowerLegRight;0.478291;p007;
forearmLeft;0.318472;p007;
upperarmLeft;0.254013;p007;
shoulderHalfLeft;0.177202;p007;
neck;0.0753271;p007;
shoulderHalfRight;0.171928;p007;
upperarmRight;0.252102;p007;
forearmRight;0.310502;p007;
shoulder;0.320579;p007;
upperBody;0.229381;p007;
hip;0.144285;p007;
lowerBody;0.310292;p007;
body;0.539621;p007;
lowerLegLeft;0.472536;p007;
upperLegLeft;0.341389;p007;
upperLegRight;0.334158;p007;
lowerLegRight;0.479321;p007;
forearmLeft;0.298188;p007;
upperarmLeft;0.251302;p007;
shoulderHalfLeft;0.177236;p007;
neck;0.0754504;p007;
shoulderHalfRight;0.172179;p007;
upperarmRight;0.252421;p007;
forearmRight;0.308323;p007;
shoulder;0.320613;p007;
upperBody;0.229776;p007;
hip;0.144969;p007;
lowerBody;0.310833;p007;
body;0.540557;p007;
lowerLegLeft;0.472774;p007;
upperLegLeft;0.341455;p007;
upperLegRight;0.3334;p007;
lowerLegRight;0.485297;p007;
forearmLeft;0.300189;p007;
upperarmLeft;0.25258;p007;
shoulderHalfLeft;0.175697;p007;
neck;0.0757517;p007;
shoulderHalfRight;0.174593;p007;
upperarmRight;0.244942;p007;
forearmRight;0.311914;p007;
shoulder;0.319673;p007;
upperBody;0.230611;p007;
hip;0.144839;p007;
lowerBody;0.311826;p007;
body;0.542386;p007;
lowerLegLeft;0.472735;p007;
upperLegLeft;0.341724;p007;
upperLegRight;0.334334;p007;
lowerLegRight;0.479875;p007;
forearmLeft;0.300317;p007;
upperarmLeft;0.254991;p007;
shoulderHalfLeft;0.176466;p007;
neck;0.0757345;p007;
shoulderHalfRight;0.174874;p007;
upperarmRight;0.247178;p007;
forearmRight;0.311608;p007;
shoulder;0.321043;p007;
upperBody;0.230624;p007;
hip;0.144444;p007;
lowerBody;0.312001;p007;
body;0.542571;p007;
lowerLegLeft;0.472486;p007;
upperLegLeft;0.342197;p007;
upperLegRight;0.334086;p007;
lowerLegRight;0.479305;p007;
forearmLeft;0.293545;p007;
upperarmLeft;0.260349;p007;
shoulderHalfLeft;0.175586;p007;
neck;0.0758218;p007;
shoulderHalfRight;0.174435;p007;
upperarmRight;0.24921;p007;
forearmRight;0.313197;p007;
shoulder;0.319849;p007;
upperBody;0.230886;p007;
hip;0.143898;p007;
lowerBody;0.312369;p007;
body;0.543201;p007;
lowerLegLeft;0.472286;p007;
upperLegLeft;0.342026;p007;
upperLegRight;0.338596;p007;
lowerLegRight;0.47734;p007;
forearmLeft;0.297435;p007;
upperarmLeft;0.254127;p007;
shoulderHalfLeft;0.178025;p007;
neck;0.0757979;p007;
shoulderHalfRight;0.173052;p007;
upperarmRight;0.250476;p007;
forearmRight;0.303402;p007;
shoulder;0.319466;p007;
upperBody;0.230752;p007;
hip;0.143772;p007;
lowerBody;0.312175;p007;
body;0.542869;p007;
lowerLegLeft;0.471607;p007;
upperLegLeft;0.342361;p007;
upperLegRight;0.337922;p007;
lowerLegRight;0.471587;p007;
forearmLeft;0.28705;p007;
upperarmLeft;0.256742;p007;
shoulderHalfLeft;0.179261;p007;
neck;0.0758621;p007;
shoulderHalfRight;0.171734;p007;
upperarmRight;0.252502;p007;
forearmRight;0.312028;p007;
shoulder;0.319765;p007;
upperBody;0.23106;p007;
hip;0.143389;p007;
lowerBody;0.312777;p007;
body;0.543785;p007;
lowerLegLeft;0.471626;p007;
upperLegLeft;0.343074;p007;
upperLegRight;0.335061;p007;
lowerLegRight;0.480762;p007;
forearmLeft;0.293486;p007;
upperarmLeft;0.254947;p007;
shoulderHalfLeft;0.176891;p007;
neck;0.0756132;p007;
shoulderHalfRight;0.170423;p007;
upperarmRight;0.25639;p007;
forearmRight;0.29408;p007;
shoulder;0.317843;p007;
upperBody;0.230544;p007;
hip;0.143428;p007;
lowerBody;0.312626;p007;
body;0.543102;p007;
lowerLegLeft;0.471117;p007;
upperLegLeft;0.343484;p007;
upperLegRight;0.336276;p007;
lowerLegRight;0.48242;p007;
forearmLeft;0.29165;p007;
upperarmLeft;0.252465;p007;
shoulderHalfLeft;0.177178;p007;
neck;0.0755532;p007;
shoulderHalfRight;0.171472;p007;
upperarmRight;0.25757;p007;
forearmRight;0.301364;p007;
shoulder;0.317963;p007;
upperBody;0.23038;p007;
hip;0.143933;p007;
lowerBody;0.312369;p007;
body;0.542685;p007;
lowerLegLeft;0.470744;p007;
upperLegLeft;0.344085;p007;
upperLegRight;0.338319;p007;
lowerLegRight;0.482398;p007;
forearmLeft;0.28982;p007;
upperarmLeft;0.253192;p007;
shoulderHalfLeft;0.174967;p007;
neck;0.0752857;p007;
shoulderHalfRight;0.171783;p007;
upperarmRight;0.257871;p007;
forearmRight;0.308933;p007;
shoulder;0.318147;p007;
upperBody;0.229561;p007;
hip;0.144164;p007;
lowerBody;0.311486;p007;
body;0.540989;p007;
lowerLegLeft;0.467616;p007;
upperLegLeft;0.344911;p007;
upperLegRight;0.339972;p007;
lowerLegRight;0.477177;p007;
forearmLeft;0.287327;p007;
upperarmLeft;0.25616;p007;
shoulderHalfLeft;0.174247;p007;
neck;0.0751908;p007;
shoulderHalfRight;0.172129;p007;
upperarmRight;0.252686;p007;
forearmRight;0.3014;p007;
shoulder;0.318796;p007;
upperBody;0.229258;p007;
hip;0.143384;p007;
lowerBody;0.311112;p007;
body;0.540316;p007;
lowerLegLeft;0.464841;p007;
upperLegLeft;0.345748;p007;
upperLegRight;0.341111;p007;
lowerLegRight;0.47746;p007;
forearmLeft;0.279699;p007;
upperarmLeft;0.261245;p007;
shoulderHalfLeft;0.173693;p007;
neck;0.0750301;p007;
shoulderHalfRight;0.172051;p007;
upperarmRight;0.251457;p007;
forearmRight;0.310059;p007;
shoulder;0.319013;p007;
upperBody;0.228921;p007;
hip;0.144018;p007;
lowerBody;0.310699;p007;
body;0.539568;p007;
lowerLegLeft;0.463591;p007;
upperLegLeft;0.346616;p007;
upperLegRight;0.340977;p007;
lowerLegRight;0.479423;p007;
forearmLeft;0.293823;p007;
upperarmLeft;0.261355;p007;
shoulderHalfLeft;0.174837;p007;
neck;0.0750392;p007;
shoulderHalfRight;0.171735;p007;
upperarmRight;0.25081;p007;
forearmRight;0.3096;p007;
shoulder;0.319962;p007;
upperBody;0.228934;p007;
hip;0.144205;p007;
lowerBody;0.31069;p007;
body;0.539573;p007;
lowerLegLeft;0.463071;p007;
upperLegLeft;0.346899;p007;
upperLegRight;0.343827;p007;
lowerLegRight;0.47894;p007;
forearmLeft;0.29863;p007;
upperarmLeft;0.260975;p007;
shoulderHalfLeft;0.173529;p007;
neck;0.0750125;p007;
shoulderHalfRight;0.172938;p007;
upperarmRight;0.24998;p007;
forearmRight;0.305888;p007;
shoulder;0.319945;p007;
upperBody;0.228835;p007;
hip;0.144591;p007;
lowerBody;0.310523;p007;
body;0.539308;p007;
lowerLegLeft;0.460952;p007;
upperLegLeft;0.34907;p007;
upperLegRight;0.345775;p007;
lowerLegRight;0.47746;p007;
forearmLeft;0.296171;p007;
upperarmLeft;0.2618;p007;
shoulderHalfLeft;0.175283;p007;
neck;0.0750546;p007;
shoulderHalfRight;0.169741;p007;
upperarmRight;0.250424;p007;
forearmRight;0.315842;p007;
shoulder;0.317463;p007;
