feature;value;class;
forearmLeft;0.275759;p007;
upperarmLeft;0.268672;p007;
shoulderHalfLeft;0.197841;p007;
neck;0.0864272;p007;
shoulderHalfRight;0.178383;p007;
upperarmRight;0.264283;p007;
forearmRight;0.328539;p007;
shoulder;0.207754;p007;
upperBody;0.268273;p007;
hip;0.147537;p007;
lowerBody;0.372258;p007;
body;0.640516;p007;
lowerLegLeft;0.448173;p007;
upperLegLeft;0.350909;p007;
upperLegRight;0.360844;p007;
lowerLegRight;0.430736;p007;
forearmLeft;0.278384;p007;
upperarmLeft;0.268612;p007;
shoulderHalfLeft;0.197945;p007;
neck;0.0863738;p007;
shoulderHalfRight;0.178656;p007;
upperarmRight;0.264483;p007;
forearmRight;0.303606;p007;
shoulder;0.209001;p007;
upperBody;0.268155;p007;
hip;0.14751;p007;
lowerBody;0.372196;p007;
body;0.640334;p007;
lowerLegLeft;0.44843;p007;
upperLegLeft;0.351048;p007;
upperLegRight;0.360236;p007;
lowerLegRight;0.431117;p007;
forearmLeft;0.278427;p007;
upperarmLeft;0.268604;p007;
shoulderHalfLeft;0.198101;p007;
neck;0.086377;p007;
shoulderHalfRight;0.178799;p007;
upperarmRight;0.264573;p007;
forearmRight;0.299161;p007;
shoulder;0.209202;p007;
upperBody;0.268176;p007;
hip;0.147597;p007;
lowerBody;0.372241;p007;
body;0.640399;p007;
lowerLegLeft;0.448589;p007;
upperLegLeft;0.350981;p007;
upperLegRight;0.360076;p007;
lowerLegRight;0.431293;p007;
forearmLeft;0.278332;p007;
upperarmLeft;0.268419;p007;
shoulderHalfLeft;0.198088;p007;
neck;0.0863521;p007;
shoulderHalfRight;0.17901;p007;
upperarmRight;0.264664;p007;
forearmRight;0.29835;p007;
shoulder;0.20976;p007;
upperBody;0.26813;p007;
hip;0.147582;p007;
lowerBody;0.372245;p007;
body;0.640356;p007;
lowerLegLeft;0.446802;p007;
upperLegLeft;0.350859;p007;
upperLegRight;0.359881;p007;
lowerLegRight;0.431226;p007;
forearmLeft;0.277453;p007;
upperarmLeft;0.268385;p007;
shoulderHalfLeft;0.198019;p007;
neck;0.08633;p007;
shoulderHalfRight;0.179125;p007;
upperarmRight;0.26471;p007;
forearmRight;0.298319;p007;
shoulder;0.21004;p007;
upperBody;0.268086;p007;
hip;0.147588;p007;
lowerBody;0.372215;p007;
body;0.640282;p007;
lowerLegLeft;0.44715;p007;
upperLegLeft;0.350825;p007;
upperLegRight;0.359618;p007;
lowerLegRight;0.431021;p007;
forearmLeft;0.279242;p007;
upperarmLeft;0.268377;p007;
shoulderHalfLeft;0.197945;p007;
neck;0.0863254;p007;
shoulderHalfRight;0.179412;p007;
upperarmRight;0.264752;p007;
forearmRight;0.297555;p007;
shoulder;0.210338;p007;
upperBody;0.268079;p007;
hip;0.147662;p007;
lowerBody;0.372221;p007;
body;0.640281;p007;
lowerLegLeft;0.447244;p007;
upperLegLeft;0.350785;p007;
upperLegRight;0.35931;p007;
lowerLegRight;0.431278;p007;
forearmLeft;0.278799;p007;
upperarmLeft;0.268372;p007;
shoulderHalfLeft;0.19798;p007;
neck;0.0863122;p007;
shoulderHalfRight;0.179554;p007;
upperarmRight;0.264811;p007;
forearmRight;0.297502;p007;
shoulder;0.210686;p007;
upperBody;0.268048;p007;
hip;0.147703;p007;
lowerBody;0.372198;p007;
body;0.640227;p007;
lowerLegLeft;0.447287;p007;
upperLegLeft;0.350931;p007;
upperLegRight;0.359223;p007;
lowerLegRight;0.431327;p007;
forearmLeft;0.283444;p007;
upperarmLeft;0.26323;p007;
shoulderHalfLeft;0.197808;p007;
neck;0.0862619;p007;
shoulderHalfRight;0.1796;p007;
upperarmRight;0.264887;p007;
forearmRight;0.29753;p007;
shoulder;0.211175;p007;
upperBody;0.267939;p007;
hip;0.147784;p007;
lowerBody;0.372138;p007;
body;0.640057;p007;
lowerLegLeft;0.44744;p007;
upperLegLeft;0.350994;p007;
upperLegRight;0.359261;p007;
lowerLegRight;0.431849;p007;
forearmLeft;0.278679;p007;
upperarmLeft;0.268344;p007;
shoulderHalfLeft;0.197788;p007;
neck;0.0862593;p007;
shoulderHalfRight;0.179631;p007;
upperarmRight;0.26493;p007;
forearmRight;0.297576;p007;
shoulder;0.211399;p007;
upperBody;0.267932;p007;
hip;0.147835;p007;
lowerBody;0.372136;p007;
body;0.640048;p007;
lowerLegLeft;0.447341;p007;
upperLegLeft;0.351209;p007;
upperLegRight;0.359279;p007;
lowerLegRight;0.431806;p007;
forearmLeft;0.278993;p007;
upperarmLeft;0.268348;p007;
shoulderHalfLeft;0.197824;p007;
neck;0.0862541;p007;
shoulderHalfRight;0.179718;p007;
upperarmRight;0.264954;p007;
forearmRight;0.296497;p007;
shoulder;0.211651;p007;
upperBody;0.26791;p007;
hip;0.148024;p007;
lowerBody;0.372107;p007;
body;0.639996;p007;
lowerLegLeft;0.447629;p007;
upperLegLeft;0.35122;p007;
upperLegRight;0.359351;p007;
lowerLegRight;0.431727;p007;
forearmLeft;0.279039;p007;
upperarmLeft;0.268332;p007;
shoulderHalfLeft;0.197896;p007;
neck;0.0862553;p007;
shoulderHalfRight;0.179839;p007;
upperarmRight;0.265025;p007;
forearmRight;0.301135;p007;
shoulder;0.211832;p007;
upperBody;0.267921;p007;
hip;0.148147;p007;
lowerBody;0.372179;p007;
body;0.64008;p007;
lowerLegLeft;0.447982;p007;
upperLegLeft;0.351156;p007;
upperLegRight;0.359148;p007;
lowerLegRight;0.431342;p007;
forearmLeft;0.281477;p007;
upperarmLeft;0.264911;p007;
shoulderHalfLeft;0.198007;p007;
neck;0.0862574;p007;
shoulderHalfRight;0.179909;p007;
upperarmRight;0.265049;p007;
forearmRight;0.300823;p007;
shoulder;0.212107;p007;
upperBody;0.26793;p007;
hip;0.148245;p007;
lowerBody;0.372193;p007;
body;0.640102;p007;
lowerLegLeft;0.448174;p007;
upperLegLeft;0.351181;p007;
upperLegRight;0.359291;p007;
lowerLegRight;0.431228;p007;
forearmLeft;0.280175;p007;
upperarmLeft;0.265821;p007;
shoulderHalfLeft;0.198026;p007;
neck;0.0862576;p007;
shoulderHalfRight;0.180011;p007;
upperarmRight;0.265099;p007;
forearmRight;0.296666;p007;
shoulder;0.212408;p007;
upperBody;0.26793;p007;
hip;0.148389;p007;
lowerBody;0.372199;p007;
body;0.640108;p007;
lowerLegLeft;0.448111;p007;
upperLegLeft;0.351194;p007;
upperLegRight;0.358995;p007;
lowerLegRight;0.430853;p007;
forearmLeft;0.279034;p007;
upperarmLeft;0.267531;p007;
shoulderHalfLeft;0.198064;p007;
neck;0.0862107;p007;
shoulderHalfRight;0.179978;p007;
upperarmRight;0.26513;p007;
forearmRight;0.295667;p007;
shoulder;0.212789;p007;
upperBody;0.267826;p007;
hip;0.148368;p007;
lowerBody;0.372115;p007;
body;0.639919;p007;
lowerLegLeft;0.447934;p007;
upperLegLeft;0.351548;p007;
upperLegRight;0.359173;p007;
lowerLegRight;0.431141;p007;
forearmLeft;0.279341;p007;
upperarmLeft;0.268392;p007;
shoulderHalfLeft;0.198113;p007;
neck;0.0861902;p007;
shoulderHalfRight;0.179922;p007;
upperarmRight;0.265137;p007;
forearmRight;0.296105;p007;
shoulder;0.212884;p007;
upperBody;0.267763;p007;
hip;0.148321;p007;
lowerBody;0.372008;p007;
body;0.63975;p007;
lowerLegLeft;0.447928;p007;
upperLegLeft;0.351907;p007;
upperLegRight;0.359348;p007;
lowerLegRight;0.431147;p007;
forearmLeft;0.2791;p007;
upperarmLeft;0.268357;p007;
shoulderHalfLeft;0.198156;p007;
neck;0.0861974;p007;
shoulderHalfRight;0.180032;p007;
upperarmRight;0.26515;p007;
forearmRight;0.297286;p007;
shoulder;0.213105;p007;
upperBody;0.267783;p007;
hip;0.148344;p007;
lowerBody;0.372031;p007;
body;0.639793;p007;
lowerLegLeft;0.447878;p007;
upperLegLeft;0.351957;p007;
upperLegRight;0.3593;p007;
lowerLegRight;0.431221;p007;
forearmLeft;0.278352;p007;
upperarmLeft;0.268392;p007;
shoulderHalfLeft;0.198123;p007;
neck;0.0861343;p007;
shoulderHalfRight;0.179923;p007;
upperarmRight;0.265175;p007;
forearmRight;0.297285;p007;
shoulder;0.213428;p007;
upperBody;0.26758;p007;
hip;0.148324;p007;
lowerBody;0.371675;p007;
body;0.639233;p007;
lowerLegLeft;0.447922;p007;
upperLegLeft;0.352435;p007;
upperLegRight;0.359774;p007;
lowerLegRight;0.430824;p007;
forearmLeft;0.279254;p007;
upperarmLeft;0.268346;p007;
shoulderHalfLeft;0.196945;p007;
neck;0.0861292;p007;
shoulderHalfRight;0.17838;p007;
upperarmRight;0.265104;p007;
forearmRight;0.296504;p007;
shoulder;0.216357;p007;
upperBody;0.26757;p007;
hip;0.148383;p007;
lowerBody;0.371801;p007;
body;0.63933;p007;
lowerLegLeft;0.448236;p007;
upperLegLeft;0.352518;p007;
upperLegRight;0.359958;p007;
lowerLegRight;0.431141;p007;
forearmLeft;0.280451;p007;
upperarmLeft;0.268308;p007;
shoulderHalfLeft;0.19658;p007;
neck;0.086089;p007;
shoulderHalfRight;0.178625;p007;
upperarmRight;0.265061;p007;
forearmRight;0.295977;p007;
shoulder;0.217628;p007;
upperBody;0.267499;p007;
hip;0.14834;p007;
lowerBody;0.371838;p007;
body;0.639297;p007;
lowerLegLeft;0.448392;p007;
upperLegLeft;0.352981;p007;
upperLegRight;0.360422;p007;
lowerLegRight;0.431114;p007;
forearmLeft;0.280751;p007;
upperarmLeft;0.268329;p007;
shoulderHalfLeft;0.196902;p007;
neck;0.0859843;p007;
shoulderHalfRight;0.178555;p007;
upperarmRight;0.265076;p007;
forearmRight;0.295586;p007;
shoulder;0.217457;p007;
upperBody;0.267322;p007;
hip;0.14824;p007;
lowerBody;0.371688;p007;
body;0.638975;p007;
lowerLegLeft;0.448266;p007;
upperLegLeft;0.353201;p007;
upperLegRight;0.360571;p007;
lowerLegRight;0.431005;p007;
forearmLeft;0.281741;p007;
upperarmLeft;0.268292;p007;
shoulderHalfLeft;0.195317;p007;
neck;0.0857106;p007;
shoulderHalfRight;0.176397;p007;
upperarmRight;0.265048;p007;
forearmRight;0.295025;p007;
shoulder;0.218527;p007;
upperBody;0.266658;p007;
hip;0.148115;p007;
lowerBody;0.371346;p007;
body;0.637958;p007;
lowerLegLeft;0.448282;p007;
upperLegLeft;0.353735;p007;
upperLegRight;0.36096;p007;
lowerLegRight;0.431121;p007;
forearmLeft;0.280684;p007;
