feature;value;class;
forearmLeft;0.315417;p004;
upperarmLeft;0.292037;p004;
shoulderHalfLeft;0.226819;p004;
neck;0.0936576;p004;
shoulderHalfRight;0.223834;p004;
upperarmRight;0.281764;p004;
forearmRight;0.29533;p004;
shoulder;0.26537;p004;
upperBody;0.292729;p004;
hip;0.164651;p004;
lowerBody;0.410191;p004;
body;0.702889;p004;
lowerLegLeft;0.439262;p004;
upperLegLeft;0.370926;p004;
upperLegRight;0.369604;p004;
lowerLegRight;0.432669;p004;
forearmLeft;0.317462;p004;
upperarmLeft;0.291278;p004;
shoulderHalfLeft;0.226886;p004;
neck;0.0935147;p004;
shoulderHalfRight;0.222253;p004;
upperarmRight;0.28126;p004;
forearmRight;0.302222;p004;
shoulder;0.263728;p004;
upperBody;0.292238;p004;
hip;0.164677;p004;
lowerBody;0.409724;p004;
body;0.701938;p004;
lowerLegLeft;0.438883;p004;
upperLegLeft;0.372176;p004;
upperLegRight;0.370501;p004;
lowerLegRight;0.433138;p004;
forearmLeft;0.315637;p004;
upperarmLeft;0.287417;p004;
shoulderHalfLeft;0.22736;p004;
neck;0.0930879;p004;
shoulderHalfRight;0.224004;p004;
upperarmRight;0.280197;p004;
forearmRight;0.305788;p004;
shoulder;0.266964;p004;
upperBody;0.29147;p004;
hip;0.164859;p004;
lowerBody;0.409296;p004;
body;0.700748;p004;
lowerLegLeft;0.438772;p004;
upperLegLeft;0.372455;p004;
upperLegRight;0.370868;p004;
lowerLegRight;0.433172;p004;
forearmLeft;0.316381;p004;
upperarmLeft;0.28837;p004;
shoulderHalfLeft;0.226928;p004;
neck;0.0930708;p004;
shoulderHalfRight;0.220972;p004;
upperarmRight;0.281762;p004;
forearmRight;0.308714;p004;
shoulder;0.264397;p004;
upperBody;0.291248;p004;
hip;0.165255;p004;
lowerBody;0.408947;p004;
body;0.700176;p004;
lowerLegLeft;0.438498;p004;
upperLegLeft;0.373357;p004;
upperLegRight;0.371421;p004;
lowerLegRight;0.433755;p004;
forearmLeft;0.332089;p004;
upperarmLeft;0.286473;p004;
shoulderHalfLeft;0.227497;p004;
neck;0.0930698;p004;
shoulderHalfRight;0.221374;p004;
upperarmRight;0.281632;p004;
forearmRight;0.311542;p004;
shoulder;0.265581;p004;
upperBody;0.291241;p004;
hip;0.165452;p004;
lowerBody;0.408878;p004;
body;0.700099;p004;
lowerLegLeft;0.4382;p004;
upperLegLeft;0.373683;p004;
upperLegRight;0.371629;p004;
lowerLegRight;0.433562;p004;
forearmLeft;0.332719;p004;
upperarmLeft;0.286374;p004;
shoulderHalfLeft;0.227341;p004;
neck;0.0931325;p004;
shoulderHalfRight;0.220461;p004;
upperarmRight;0.283585;p004;
