feature;value;class;
forearmLeft;0.356043;p009;
upperarmLeft;0.268778;p009;
shoulderHalfLeft;0.186885;p009;
neck;0.0876295;p009;
shoulderHalfRight;0.19035;p009;
upperarmRight;0.268957;p009;
forearmRight;0.305421;p009;
shoulder;0.237051;p009;
upperBody;0.273824;p009;
hip;0.156029;p009;
lowerBody;0.383381;p009;
body;0.657171;p009;
lowerLegLeft;0.416947;p009;
upperLegLeft;0.340793;p009;
upperLegRight;0.341674;p009;
lowerLegRight;0.420464;p009;
forearmLeft;0.35545;p009;
upperarmLeft;0.268793;p009;
shoulderHalfLeft;0.187476;p009;
neck;0.0876478;p009;
shoulderHalfRight;0.190146;p009;
upperarmRight;0.26896;p009;
forearmRight;0.305087;p009;
shoulder;0.237517;p009;
upperBody;0.273874;p009;
hip;0.156095;p009;
lowerBody;0.38344;p009;
body;0.657281;p009;
lowerLegLeft;0.416521;p009;
upperLegLeft;0.34121;p009;
upperLegRight;0.341677;p009;
lowerLegRight;0.42051;p009;
forearmLeft;0.354847;p009;
upperarmLeft;0.268811;p009;
shoulderHalfLeft;0.188107;p009;
neck;0.0876423;p009;
shoulderHalfRight;0.189897;p009;
upperarmRight;0.268951;p009;
forearmRight;0.304377;p009;
shoulder;0.237986;p009;
upperBody;0.273868;p009;
hip;0.156064;p009;
lowerBody;0.383438;p009;
body;0.657273;p009;
lowerLegLeft;0.416529;p009;
upperLegLeft;0.341087;p009;
upperLegRight;0.341774;p009;
lowerLegRight;0.42021;p009;
forearmLeft;0.354001;p009;
upperarmLeft;0.268824;p009;
shoulderHalfLeft;0.188654;p009;
neck;0.0876497;p009;
shoulderHalfRight;0.189798;p009;
upperarmRight;0.268954;p009;
forearmRight;0.304311;p009;
shoulder;0.238491;p009;
upperBody;0.273893;p009;
hip;0.155981;p009;
lowerBody;0.383474;p009;
body;0.657334;p009;
lowerLegLeft;0.418252;p009;
upperLegLeft;0.341058;p009;
upperLegRight;0.341786;p009;
lowerLegRight;0.420236;p009;
forearmLeft;0.354257;p009;
upperarmLeft;0.268838;p009;
shoulderHalfLeft;0.189137;p009;
neck;0.087643;p009;
shoulderHalfRight;0.189412;p009;
upperarmRight;0.268953;p009;
forearmRight;0.304271;p009;
shoulder;0.23891;p009;
upperBody;0.273878;p009;
hip;0.155988;p009;
lowerBody;0.383462;p009;
body;0.657306;p009;
lowerLegLeft;0.418105;p009;
upperLegLeft;0.341052;p009;
upperLegRight;0.341734;p009;
lowerLegRight;0.420391;p009;
forearmLeft;0.353553;p009;
upperarmLeft;0.268852;p009;
shoulderHalfLeft;0.190302;p009;
neck;0.0876414;p009;
shoulderHalfRight;0.191796;p009;
upperarmRight;0.268944;p009;
forearmRight;0.302985;p009;
shoulder;0.239465;p009;
upperBody;0.273918;p009;
hip;0.155953;p009;
lowerBody;0.383489;p009;
body;0.657391;p009;
lowerLegLeft;0.41778;p009;
upperLegLeft;0.341033;p009;
upperLegRight;0.341773;p009;
lowerLegRight;0.420285;p009;
forearmLeft;0.353684;p009;
upperarmLeft;0.26886;p009;
shoulderHalfLeft;0.190609;p009;
neck;0.0876595;p009;
shoulderHalfRight;0.191432;p009;
upperarmRight;0.268925;p009;
forearmRight;0.303587;p009;
shoulder;0.239626;p009;
upperBody;0.273947;p009;
hip;0.155959;p009;
lowerBody;0.383512;p009;
body;0.657441;p009;
lowerLegLeft;0.417645;p009;
upperLegLeft;0.341203;p009;
upperLegRight;0.3418;p009;
lowerLegRight;0.420509;p009;
forearmLeft;0.352752;p009;
upperarmLeft;0.268864;p009;
shoulderHalfLeft;0.190666;p009;
neck;0.0876507;p009;
shoulderHalfRight;0.191128;p009;
upperarmRight;0.268916;p009;
forearmRight;0.301899;p009;
shoulder;0.239766;p009;
upperBody;0.273936;p009;
hip;0.155997;p009;
lowerBody;0.383552;p009;
body;0.657469;p009;
lowerLegLeft;0.417633;p009;
upperLegLeft;0.341088;p009;
upperLegRight;0.341679;p009;
lowerLegRight;0.420455;p009;
forearmLeft;0.355037;p009;
upperarmLeft;0.268863;p009;
shoulderHalfLeft;0.190723;p009;
neck;0.0876375;p009;
shoulderHalfRight;0.19078;p009;
upperarmRight;0.268901;p009;
forearmRight;0.302152;p009;
shoulder;0.239715;p009;
upperBody;0.273914;p009;
hip;0.155992;p009;
lowerBody;0.38351;p009;
body;0.657405;p009;
lowerLegLeft;0.417485;p009;
upperLegLeft;0.341281;p009;
upperLegRight;0.341704;p009;
lowerLegRight;0.420552;p009;
forearmLeft;0.354248;p009;
upperarmLeft;0.26887;p009;
shoulderHalfLeft;0.190786;p009;
neck;0.0876325;p009;
shoulderHalfRight;0.190564;p009;
upperarmRight;0.268898;p009;
forearmRight;0.303026;p009;
shoulder;0.239817;p009;
upperBody;0.273906;p009;
hip;0.156003;p009;
lowerBody;0.383496;p009;
body;0.657381;p009;
lowerLegLeft;0.417421;p009;
upperLegLeft;0.341182;p009;
upperLegRight;0.34175;p009;
lowerLegRight;0.42055;p009;
forearmLeft;0.353194;p009;
upperarmLeft;0.268875;p009;
shoulderHalfLeft;0.190814;p009;
neck;0.0876317;p009;
shoulderHalfRight;0.190359;p009;
upperarmRight;0.268881;p009;
forearmRight;0.30245;p009;
shoulder;0.239879;p009;
upperBody;0.27391;p009;
hip;0.156034;p009;
lowerBody;0.383471;p009;
body;0.657359;p009;
lowerLegLeft;0.417312;p009;
upperLegLeft;0.341211;p009;
upperLegRight;0.341792;p009;
lowerLegRight;0.420768;p009;
forearmLeft;0.35477;p009;
upperarmLeft;0.268881;p009;
shoulderHalfLeft;0.190741;p009;
neck;0.0875982;p009;
shoulderHalfRight;0.190038;p009;
upperarmRight;0.268875;p009;
forearmRight;0.302873;p009;
shoulder;0.239984;p009;
upperBody;0.273843;p009;
hip;0.156045;p009;
lowerBody;0.383444;p009;
body;0.657263;p009;
lowerLegLeft;0.417378;p009;
upperLegLeft;0.341212;p009;
upperLegRight;0.341769;p009;
lowerLegRight;0.420805;p009;
forearmLeft;0.353871;p009;
upperarmLeft;0.268885;p009;
shoulderHalfLeft;0.19067;p009;
neck;0.0875833;p009;
shoulderHalfRight;0.189772;p009;
upperarmRight;0.268876;p009;
forearmRight;0.304639;p009;
shoulder;0.239908;p009;
upperBody;0.273809;p009;
hip;0.156032;p009;
lowerBody;0.383423;p009;
body;0.657206;p009;
lowerLegLeft;0.417572;p009;
upperLegLeft;0.341222;p009;
upperLegRight;0.341814;p009;
lowerLegRight;0.420802;p009;
forearmLeft;0.353915;p009;
upperarmLeft;0.268891;p009;
shoulderHalfLeft;0.190557;p009;
neck;0.0875668;p009;
shoulderHalfRight;0.189552;p009;
upperarmRight;0.268882;p009;
forearmRight;0.301771;p009;
shoulder;0.239938;p009;
upperBody;0.273766;p009;
hip;0.155963;p009;
lowerBody;0.383388;p009;
body;0.657126;p009;
lowerLegLeft;0.417851;p009;
upperLegLeft;0.34107;p009;
upperLegRight;0.341881;p009;
lowerLegRight;0.420938;p009;
forearmLeft;0.353201;p009;
upperarmLeft;0.268895;p009;
shoulderHalfLeft;0.190434;p009;
neck;0.0875709;p009;
shoulderHalfRight;0.189431;p009;
upperarmRight;0.268888;p009;
forearmRight;0.299474;p009;
shoulder;0.239902;p009;
upperBody;0.273774;p009;
hip;0.155978;p009;
lowerBody;0.383392;p009;
