feature;value;class;
forearmLeft;0.331673;p001;
upperarmLeft;0.289891;p001;
shoulderHalfLeft;0.200847;p001;
neck;0.0930703;p001;
shoulderHalfRight;0.200185;p001;
upperarmRight;0.289405;p001;
forearmRight;0.347855;p001;
shoulder;0.251284;p001;
upperBody;0.289143;p001;
hip;0.160581;p001;
lowerBody;0.401058;p001;
body;0.690188;p001;
lowerLegLeft;0.459519;p001;
upperLegLeft;0.432451;p001;
upperLegRight;0.474963;p001;
lowerLegRight;0.571935;p001;
forearmLeft;0.338364;p001;
upperarmLeft;0.286695;p001;
shoulderHalfLeft;0.186898;p001;
neck;0.0921505;p001;
shoulderHalfRight;0.20694;p001;
upperarmRight;0.289005;p001;
forearmRight;0.345491;p001;
shoulder;0.259034;p001;
upperBody;0.285433;p001;
hip;0.160372;p001;
lowerBody;0.394247;p001;
body;0.679652;p001;
lowerLegLeft;0.495656;p001;
upperLegLeft;0.427565;p001;
upperLegRight;0.456789;p001;
lowerLegRight;0.471954;p001;
forearmLeft;0.33507;p001;
upperarmLeft;0.286554;p001;
shoulderHalfLeft;0.191093;p001;
neck;0.0921944;p001;
shoulderHalfRight;0.204143;p001;
upperarmRight;0.289002;p001;
forearmRight;0.346524;p001;
shoulder;0.257409;p001;
upperBody;0.285497;p001;
hip;0.159553;p001;
lowerBody;0.394109;p001;
body;0.679582;p001;
lowerLegLeft;0.50782;p001;
upperLegLeft;0.421537;p001;
upperLegRight;0.448473;p001;
lowerLegRight;0.454894;p001;
forearmLeft;0.347248;p001;
upperarmLeft;0.286591;p001;
shoulderHalfLeft;0.193923;p001;
neck;0.0918233;p001;
shoulderHalfRight;0.198099;p001;
upperarmRight;0.28893;p001;
forearmRight;0.340986;p001;
shoulder;0.266284;p001;
upperBody;0.284235;p001;
hip;0.158977;p001;
lowerBody;0.392157;p001;
body;0.676364;p001;
lowerLegLeft;0.513659;p001;
upperLegLeft;0.42055;p001;
upperLegRight;0.476685;p001;
lowerLegRight;0.43065;p001;
forearmLeft;0.346594;p001;
upperarmLeft;0.286598;p001;
shoulderHalfLeft;0.188458;p001;
neck;0.0915517;p001;
shoulderHalfRight;0.204648;p001;
upperarmRight;0.287968;p001;
forearmRight;0.358792;p001;
shoulder;0.264715;p001;
upperBody;0.283417;p001;
hip;0.158967;p001;
lowerBody;0.39104;p001;
body;0.674431;p001;
lowerLegLeft;0.511182;p001;
upperLegLeft;0.424325;p001;
upperLegRight;0.476483;p001;
lowerLegRight;0.424991;p001;
forearmLeft;0.347475;p001;
upperarmLeft;0.287191;p001;
shoulderHalfLeft;0.192852;p001;
neck;0.0912937;p001;
shoulderHalfRight;0.19133;p001;
upperarmRight;0.288308;p001;
forearmRight;0.359315;p001;
shoulder;0.259965;p001;
upperBody;0.282445;p001;
hip;0.160036;p001;
lowerBody;0.389214;p001;
body;0.671636;p001;
lowerLegLeft;0.515544;p001;
upperLegLeft;0.44725;p001;
upperLegRight;0.465716;p001;
lowerLegRight;0.446336;p001;
forearmLeft;0.349611;p001;
upperarmLeft;0.287766;p001;
shoulderHalfLeft;0.187613;p001;
neck;0.0913952;p001;
shoulderHalfRight;0.188337;p001;
upperarmRight;0.288034;p001;
forearmRight;0.35747;p001;
shoulder;0.257997;p001;
upperBody;0.28241;p001;
hip;0.159913;p001;
lowerBody;0.388568;p001;
body;0.670954;p001;
lowerLegLeft;0.539831;p001;
upperLegLeft;0.454691;p001;
upperLegRight;0.449721;p001;
lowerLegRight;0.456868;p001;
forearmLeft;0.345144;p001;
upperarmLeft;0.28727;p001;
shoulderHalfLeft;0.197763;p001;
neck;0.0915219;p001;
shoulderHalfRight;0.189735;p001;
upperarmRight;0.287211;p001;
forearmRight;0.355015;p001;
shoulder;0.260006;p001;
upperBody;0.282669;p001;
hip;0.158388;p001;
lowerBody;0.388855;p001;
body;0.671495;p001;
lowerLegLeft;0.598513;p001;
upperLegLeft;0.43134;p001;
upperLegRight;0.442275;p001;
lowerLegRight;0.464814;p001;
forearmLeft;0.340137;p001;
upperarmLeft;0.287105;p001;
shoulderHalfLeft;0.196862;p001;
neck;0.0916115;p001;
shoulderHalfRight;0.190645;p001;
upperarmRight;0.28693;p001;
forearmRight;0.352804;p001;
shoulder;0.261525;p001;
upperBody;0.282778;p001;
hip;0.159532;p001;
lowerBody;0.388694;p001;
body;0.67144;p001;
lowerLegLeft;0.528912;p001;
upperLegLeft;0.451291;p001;
upperLegRight;0.441883;p001;
lowerLegRight;0.477661;p001;
forearmLeft;0.349075;p001;
upperarmLeft;0.287237;p001;
shoulderHalfLeft;0.194284;p001;
neck;0.0916702;p001;
shoulderHalfRight;0.186217;p001;
upperarmRight;0.286466;p001;
forearmRight;0.353515;p001;
shoulder;0.265188;p001;
upperBody;0.282733;p001;
hip;0.153052;p001;
lowerBody;0.388327;p001;
body;0.671025;p001;
lowerLegLeft;0.523086;p001;
upperLegLeft;0.438488;p001;
upperLegRight;0.430182;p001;
lowerLegRight;0.498554;p001;
forearmLeft;0.34317;p001;
upperarmLeft;0.286312;p001;
shoulderHalfLeft;0.195715;p001;
neck;0.0921686;p001;
shoulderHalfRight;0.1845;p001;
upperarmRight;0.28472;p001;
forearmRight;0.354184;p001;
shoulder;0.25451;p001;
upperBody;0.284073;p001;
hip;0.152026;p001;
lowerBody;0.389893;p001;
body;0.673932;p001;
lowerLegLeft;0.485567;p001;
upperLegLeft;0.424742;p001;
upperLegRight;0.425283;p001;
lowerLegRight;0.506044;p001;
forearmLeft;0.343857;p001;
upperarmLeft;0.286441;p001;
shoulderHalfLeft;0.196975;p001;
neck;0.0926747;p001;
shoulderHalfRight;0.18261;p001;
upperarmRight;0.283547;p001;
forearmRight;0.357409;p001;
shoulder;0.24968;p001;
upperBody;0.28547;p001;
hip;0.155451;p001;
lowerBody;0.391502;p001;
body;0.676941;p001;
lowerLegLeft;0.54445;p001;
upperLegLeft;0.435556;p001;
upperLegRight;0.422184;p001;
lowerLegRight;0.50574;p001;
forearmLeft;0.349204;p001;
upperarmLeft;0.285583;p001;
shoulderHalfLeft;0.206512;p001;
neck;0.0923815;p001;
shoulderHalfRight;0.190659;p001;
upperarmRight;0.282191;p001;
forearmRight;0.368378;p001;
shoulder;0.244605;p001;
upperBody;0.284656;p001;
hip;0.157438;p001;
lowerBody;0.39047;p001;
body;0.675093;p001;
lowerLegLeft;0.476919;p001;
upperLegLeft;0.451987;p001;
upperLegRight;0.42046;p001;
lowerLegRight;0.508952;p001;
forearmLeft;0.350352;p001;
upperarmLeft;0.287734;p001;
shoulderHalfLeft;0.185871;p001;
neck;0.0928651;p001;
shoulderHalfRight;0.185182;p001;
upperarmRight;0.283971;p001;
forearmRight;0.355033;p001;
shoulder;0.246719;p001;
upperBody;0.286049;p001;
hip;0.156483;p001;
lowerBody;0.39216;p001;
body;0.678176;p001;
lowerLegLeft;0.443989;p001;
upperLegLeft;0.474319;p001;
upperLegRight;0.421943;p001;
lowerLegRight;0.514513;p001;
forearmLeft;0.344099;p001;
upperarmLeft;0.286318;p001;
shoulderHalfLeft;0.198615;p001;
neck;0.0932628;p001;
shoulderHalfRight;0.190814;p001;
upperarmRight;0.282941;p001;
forearmRight;0.353635;p001;
shoulder;0.241809;p001;
upperBody;0.287227;p001;
hip;0.153296;p001;
lowerBody;0.393744;p001;
body;0.680938;p001;
lowerLegLeft;0.438367;p001;
upperLegLeft;0.465203;p001;
upperLegRight;0.421056;p001;
lowerLegRight;0.516082;p001;
forearmLeft;0.344913;p001;
upperarmLeft;0.286843;p001;
shoulderHalfLeft;0.196598;p001;
neck;0.0926903;p001;
shoulderHalfRight;0.178521;p001;
upperarmRight;0.283296;p001;
forearmRight;0.356219;p001;
shoulder;0.239896;p001;
upperBody;0.285612;p001;
hip;0.151624;p001;
lowerBody;0.391784;p001;
body;0.677365;p001;
lowerLegLeft;0.45881;p001;
upperLegLeft;0.473055;p001;
upperLegRight;0.419916;p001;
lowerLegRight;0.520488;p001;
forearmLeft;0.342861;p001;
upperarmLeft;0.286224;p001;
shoulderHalfLeft;0.194639;p001;
neck;0.092433;p001;
shoulderHalfRight;0.173286;p001;
upperarmRight;0.283184;p001;
forearmRight;0.350358;p001;
shoulder;0.237404;p001;
upperBody;0.284673;p001;
hip;0.150459;p001;
lowerBody;0.390236;p001;
body;0.674874;p001;
lowerLegLeft;0.43302;p001;
upperLegLeft;0.473528;p001;
upperLegRight;0.420873;p001;
lowerLegRight;0.523062;p001;
forearmLeft;0.350865;p001;
upperarmLeft;0.286172;p001;
shoulderHalfLeft;0.198288;p001;
neck;0.0935266;p001;
shoulderHalfRight;0.183465;p001;
upperarmRight;0.283324;p001;
forearmRight;0.359761;p001;
shoulder;0.236672;p001;
upperBody;0.287892;p001;
hip;0.148356;p001;
lowerBody;0.394367;p001;
body;0.682224;p001;
lowerLegLeft;0.430335;p001;
upperLegLeft;0.472148;p001;
upperLegRight;0.417636;p001;
lowerLegRight;0.535916;p001;
forearmLeft;0.347125;p001;
upperarmLeft;0.286005;p001;
shoulderHalfLeft;0.197469;p001;
neck;0.0938166;p001;
shoulderHalfRight;0.180206;p001;
upperarmRight;0.283671;p001;
forearmRight;0.364149;p001;
shoulder;0.241382;p001;
upperBody;0.288723;p001;
