feature;value;class;
forearmLeft;0.322226;p009;
upperarmLeft;0.245776;p009;
shoulderHalfLeft;0.16605;p009;
neck;0.0778018;p009;
shoulderHalfRight;0.197721;p009;
upperarmRight;0.224749;p009;
forearmRight;0.341554;p009;
shoulder;0.330909;p009;
upperBody;0.243344;p009;
hip;0.15596;p009;
lowerBody;0.340742;p009;
body;0.584048;p009;
lowerLegLeft;0.429223;p009;
upperLegLeft;0.339024;p009;
upperLegRight;0.334297;p009;
lowerLegRight;0.436057;p009;
forearmLeft;0.323279;p009;
upperarmLeft;0.245661;p009;
shoulderHalfLeft;0.165984;p009;
neck;0.0777977;p009;
shoulderHalfRight;0.197682;p009;
upperarmRight;0.224846;p009;
forearmRight;0.341569;p009;
shoulder;0.330831;p009;
upperBody;0.243337;p009;
hip;0.15598;p009;
lowerBody;0.340726;p009;
body;0.584024;p009;
lowerLegLeft;0.429447;p009;
upperLegLeft;0.338759;p009;
upperLegRight;0.334292;p009;
lowerLegRight;0.436028;p009;
forearmLeft;0.32239;p009;
upperarmLeft;0.24539;p009;
shoulderHalfLeft;0.165889;p009;
neck;0.0778263;p009;
shoulderHalfRight;0.197543;p009;
upperarmRight;0.225096;p009;
forearmRight;0.340461;p009;
shoulder;0.330693;p009;
upperBody;0.243427;p009;
hip;0.156056;p009;
lowerBody;0.340846;p009;
body;0.584234;p009;
lowerLegLeft;0.429231;p009;
upperLegLeft;0.338519;p009;
upperLegRight;0.333944;p009;
lowerLegRight;0.436094;p009;
forearmLeft;0.323076;p009;
upperarmLeft;0.245445;p009;
shoulderHalfLeft;0.165796;p009;
neck;0.0778432;p009;
shoulderHalfRight;0.197584;p009;
upperarmRight;0.225082;p009;
forearmRight;0.341522;p009;
shoulder;0.330647;p009;
upperBody;0.243474;p009;
hip;0.156091;p009;
lowerBody;0.340875;p009;
body;0.58431;p009;
lowerLegLeft;0.429186;p009;
upperLegLeft;0.338402;p009;
upperLegRight;0.333362;p009;
lowerLegRight;0.436468;p009;
forearmLeft;0.321926;p009;
upperarmLeft;0.245551;p009;
shoulderHalfLeft;0.165779;p009;
neck;0.0778597;p009;
shoulderHalfRight;0.197511;p009;
upperarmRight;0.22516;p009;
forearmRight;0.342337;p009;
shoulder;0.330541;p009;
upperBody;0.24352;p009;
hip;0.15615;p009;
lowerBody;0.340909;p009;
body;0.58439;p009;
lowerLegLeft;0.429735;p009;
upperLegLeft;0.338513;p009;
upperLegRight;0.333036;p009;
lowerLegRight;0.436847;p009;
forearmLeft;0.323577;p009;
upperarmLeft;0.245454;p009;
shoulderHalfLeft;0.165626;p009;
neck;0.0778816;p009;
shoulderHalfRight;0.197651;p009;
upperarmRight;0.225178;p009;
forearmRight;0.341914;p009;
shoulder;0.330559;p009;
upperBody;0.243579;p009;
hip;0.15624;p009;
lowerBody;0.340953;p009;
body;0.584493;p009;
lowerLegLeft;0.429271;p009;
upperLegLeft;0.338829;p009;
upperLegRight;0.332896;p009;
lowerLegRight;0.43678;p009;
forearmLeft;0.321991;p009;
upperarmLeft;0.245459;p009;
shoulderHalfLeft;0.165626;p009;
neck;0.0778762;p009;
shoulderHalfRight;0.197532;p009;
upperarmRight;0.225221;p009;
forearmRight;0.349077;p009;
shoulder;0.330527;p009;
upperBody;0.24356;p009;
hip;0.156323;p009;
lowerBody;0.340915;p009;
body;0.584434;p009;
lowerLegLeft;0.429635;p009;
upperLegLeft;0.338788;p009;
upperLegRight;0.3327;p009;
lowerLegRight;0.43662;p009;
forearmLeft;0.322505;p009;
upperarmLeft;0.245252;p009;
shoulderHalfLeft;0.16552;p009;
neck;0.077871;p009;
shoulderHalfRight;0.197553;p009;
upperarmRight;0.225404;p009;
forearmRight;0.360194;p009;
shoulder;0.330439;p009;
upperBody;0.243555;p009;
hip;0.156314;p009;
lowerBody;0.340919;p009;
body;0.584432;p009;
lowerLegLeft;0.429611;p009;
upperLegLeft;0.3388;p009;
upperLegRight;0.33271;p009;
lowerLegRight;0.436619;p009;
forearmLeft;0.323527;p009;
upperarmLeft;0.245341;p009;
shoulderHalfLeft;0.165545;p009;
neck;0.0779016;p009;
shoulderHalfRight;0.197432;p009;
upperarmRight;0.225448;p009;
forearmRight;0.35971;p009;
shoulder;0.330398;p009;
upperBody;0.24364;p009;
hip;0.15633;p009;
lowerBody;0.341008;p009;
body;0.584606;p009;
lowerLegLeft;0.429423;p009;
upperLegLeft;0.338602;p009;
upperLegRight;0.332427;p009;
lowerLegRight;0.436661;p009;
forearmLeft;0.32216;p009;
upperarmLeft;0.245218;p009;
shoulderHalfLeft;0.165468;p009;
neck;0.0779064;p009;
shoulderHalfRight;0.197496;p009;
upperarmRight;0.22544;p009;
forearmRight;0.358756;p009;
shoulder;0.330427;p009;
upperBody;0.243652;p009;
hip;0.156441;p009;
lowerBody;0.341001;p009;
body;0.584611;p009;
lowerLegLeft;0.429369;p009;
upperLegLeft;0.338582;p009;
upperLegRight;0.332415;p009;
lowerLegRight;0.436656;p009;
forearmLeft;0.323476;p009;
upperarmLeft;0.245247;p009;
shoulderHalfLeft;0.165472;p009;
neck;0.0779255;p009;
shoulderHalfRight;0.197455;p009;
upperarmRight;0.225358;p009;
forearmRight;0.360394;p009;
shoulder;0.330411;p009;
upperBody;0.243707;p009;
hip;0.156567;p009;
lowerBody;0.341091;p009;
body;0.584755;p009;
lowerLegLeft;0.429576;p009;
upperLegLeft;0.338607;p009;
upperLegRight;0.332131;p009;
lowerLegRight;0.436871;p009;
forearmLeft;0.323139;p009;
upperarmLeft;0.24557;p009;
shoulderHalfLeft;0.165445;p009;
neck;0.0779208;p009;
shoulderHalfRight;0.197547;p009;
upperarmRight;0.225199;p009;
forearmRight;0.360646;p009;
shoulder;0.330505;p009;
upperBody;0.243701;p009;
hip;0.15667;p009;
lowerBody;0.341073;p009;
body;0.58473;p009;
lowerLegLeft;0.42962;p009;
upperLegLeft;0.338596;p009;
upperLegRight;0.332284;p009;
lowerLegRight;0.436815;p009;
forearmLeft;0.323652;p009;
upperarmLeft;0.245427;p009;
shoulderHalfLeft;0.165477;p009;
neck;0.0779197;p009;
shoulderHalfRight;0.197522;p009;
upperarmRight;0.225164;p009;
forearmRight;0.360274;p009;
