feature;value;class;
forearmLeft;0.325494;p011;
upperarmLeft;0.232978;p011;
shoulderHalfLeft;0.148761;p011;
neck;0.0685191;p011;
shoulderHalfRight;0.217455;p011;
upperarmRight;0.227744;p011;
forearmRight;0.325079;p011;
shoulder;0.308964;p011;
upperBody;0.211903;p011;
hip;0.111895;p011;
lowerBody;0.290527;p011;
body;0.502402;p011;
lowerLegLeft;0.500231;p011;
upperLegLeft;0.441239;p011;
upperLegRight;0.441187;p011;
lowerLegRight;0.511474;p011;
forearmLeft;0.278692;p011;
upperarmLeft;0.232979;p011;
shoulderHalfLeft;0.148681;p011;
neck;0.0678463;p011;
shoulderHalfRight;0.215075;p011;
upperarmRight;0.226755;p011;
forearmRight;0.324063;p011;
shoulder;0.310157;p011;
upperBody;0.209862;p011;
hip;0.111865;p011;
lowerBody;0.2893;p011;
body;0.499131;p011;
lowerLegLeft;0.500552;p011;
upperLegLeft;0.441236;p011;
upperLegRight;0.441177;p011;
lowerLegRight;0.511214;p011;
forearmLeft;0.291305;p011;
upperarmLeft;0.232955;p011;
shoulderHalfLeft;0.148451;p011;
neck;0.0674888;p011;
shoulderHalfRight;0.211214;p011;
upperarmRight;0.227621;p011;
forearmRight;0.320929;p011;
shoulder;0.308957;p011;
upperBody;0.208536;p011;
hip;0.111919;p011;
lowerBody;0.288275;p011;
body;0.496773;p011;
lowerLegLeft;0.501313;p011;
upperLegLeft;0.441231;p011;
upperLegRight;0.441182;p011;
lowerLegRight;0.511162;p011;
forearmLeft;0.284356;p011;
upperarmLeft;0.233116;p011;
shoulderHalfLeft;0.149843;p011;
neck;0.067562;p011;
shoulderHalfRight;0.208264;p011;
upperarmRight;0.228194;p011;
forearmRight;0.319159;p011;
shoulder;0.308194;p011;
upperBody;0.208479;p011;
hip;0.111914;p011;
lowerBody;0.288006;p011;
body;0.496443;p011;
lowerLegLeft;0.501126;p011;
upperLegLeft;0.441212;p011;
upperLegRight;0.441161;p011;
lowerLegRight;0.503166;p011;
forearmLeft;0.313755;p011;
upperarmLeft;0.233142;p011;
shoulderHalfLeft;0.147658;p011;
neck;0.0681109;p011;
shoulderHalfRight;0.211043;p011;
upperarmRight;0.22881;p011;
forearmRight;0.325984;p011;
shoulder;0.30761;p011;
upperBody;0.209291;p011;
hip;0.111886;p011;
lowerBody;0.288103;p011;
body;0.497365;p011;
lowerLegLeft;0.500846;p011;
upperLegLeft;0.441229;p011;
upperLegRight;0.441168;p011;
lowerLegRight;0.504885;p011;
forearmLeft;0.283709;p011;
upperarmLeft;0.233166;p011;
shoulderHalfLeft;0.148999;p011;
neck;0.0695985;p011;
shoulderHalfRight;0.215206;p011;
upperarmRight;0.229273;p011;
forearmRight;0.323498;p011;
shoulder;0.306987;p011;
upperBody;0.212906;p011;
hip;0.11183;p011;
lowerBody;0.289851;p011;
body;0.502733;p011;
lowerLegLeft;0.500085;p011;
upperLegLeft;0.441223;p011;
upperLegRight;0.441149;p011;
lowerLegRight;0.504054;p011;
forearmLeft;0.279816;p011;
upperarmLeft;0.233079;p011;
shoulderHalfLeft;0.148423;p011;
neck;0.0685048;p011;
shoulderHalfRight;0.212459;p011;
upperarmRight;0.22971;p011;
forearmRight;0.325748;p011;
shoulder;0.306804;p011;
upperBody;0.211062;p011;
hip;0.111752;p011;
lowerBody;0.289103;p011;
body;0.500139;p011;
lowerLegLeft;0.500011;p011;
upperLegLeft;0.441243;p011;
upperLegRight;0.441168;p011;
lowerLegRight;0.507452;p011;
forearmLeft;0.320986;p011;
upperarmLeft;0.233029;p011;
shoulderHalfLeft;0.148389;p011;
neck;0.0680302;p011;
shoulderHalfRight;0.212384;p011;
upperarmRight;0.228915;p011;
forearmRight;0.325049;p011;
shoulder;0.308085;p011;
upperBody;0.210162;p011;
hip;0.112103;p011;
lowerBody;0.288603;p011;
body;0.498741;p011;
lowerLegLeft;0.497671;p011;
upperLegLeft;0.441341;p011;
upperLegRight;0.441213;p011;
lowerLegRight;0.505849;p011;
forearmLeft;0.276879;p011;
upperarmLeft;0.232866;p011;
shoulderHalfLeft;0.151547;p011;
neck;0.0681781;p011;
shoulderHalfRight;0.208227;p011;
upperarmRight;0.229419;p011;
forearmRight;0.322971;p011;
shoulder;0.307659;p011;
upperBody;0.210237;p011;
hip;0.112008;p011;
lowerBody;0.288514;p011;
body;0.498724;p011;
lowerLegLeft;0.49747;p011;
upperLegLeft;0.441335;p011;
upperLegRight;0.441239;p011;
lowerLegRight;0.511687;p011;
forearmLeft;0.275969;p011;
upperarmLeft;0.23291;p011;
shoulderHalfLeft;0.15071;p011;
neck;0.0677012;p011;
shoulderHalfRight;0.208486;p011;
upperarmRight;0.229578;p011;
forearmRight;0.32153;p011;
shoulder;0.309759;p011;
upperBody;0.208977;p011;
hip;0.112265;p011;
lowerBody;0.287298;p011;
body;0.496253;p011;
lowerLegLeft;0.498527;p011;
upperLegLeft;0.441453;p011;
upperLegRight;0.44137;p011;
lowerLegRight;0.485366;p011;
forearmLeft;0.323079;p011;
upperarmLeft;0.233123;p011;
shoulderHalfLeft;0.151039;p011;
neck;0.0676851;p011;
shoulderHalfRight;0.206912;p011;
upperarmRight;0.230084;p011;
forearmRight;0.32905;p011;
shoulder;0.308892;p011;
upperBody;0.208812;p011;
hip;0.112183;p011;
lowerBody;0.287229;p011;
body;0.496019;p011;
lowerLegLeft;0.498223;p011;
upperLegLeft;0.441468;p011;
upperLegRight;0.441372;p011;
lowerLegRight;0.507777;p011;
forearmLeft;0.324999;p011;
upperarmLeft;0.233054;p011;
shoulderHalfLeft;0.147889;p011;
neck;0.0683932;p011;
shoulderHalfRight;0.211827;p011;
upperarmRight;0.230462;p011;
forearmRight;0.325966;p011;
shoulder;0.308051;p011;
upperBody;0.210071;p011;
hip;0.112076;p011;
lowerBody;0.287894;p011;
body;0.497938;p011;
lowerLegLeft;0.49833;p011;
upperLegLeft;0.441469;p011;
upperLegRight;0.44139;p011;
lowerLegRight;0.507634;p011;
forearmLeft;0.323562;p011;
upperarmLeft;0.233526;p011;
shoulderHalfLeft;0.149533;p011;
neck;0.0684582;p011;
shoulderHalfRight;0.209129;p011;
upperarmRight;0.230954;p011;
forearmRight;0.326647;p011;
shoulder;0.307405;p011;
upperBody;0.210153;p011;
hip;0.112063;p011;
lowerBody;0.287949;p011;
body;0.498071;p011;
lowerLegLeft;0.499965;p011;
upperLegLeft;0.441469;p011;
upperLegRight;0.441392;p011;
lowerLegRight;0.50661;p011;
forearmLeft;0.326426;p011;
upperarmLeft;0.23354;p011;
shoulderHalfLeft;0.14908;p011;
neck;0.0682582;p011;
shoulderHalfRight;0.209823;p011;
upperarmRight;0.229482;p011;
forearmRight;0.326294;p011;
shoulder;0.3083;p011;
upperBody;0.20975;p011;
hip;0.112053;p011;
lowerBody;0.28769;p011;
body;0.497408;p011;
lowerLegLeft;0.500113;p011;
upperLegLeft;0.441454;p011;
upperLegRight;0.441381;p011;
lowerLegRight;0.484246;p011;
forearmLeft;0.324429;p011;
upperarmLeft;0.233108;p011;
shoulderHalfLeft;0.153173;p011;
neck;0.068408;p011;
shoulderHalfRight;0.204678;p011;
upperarmRight;0.229933;p011;
forearmRight;0.324581;p011;
shoulder;0.307609;p011;
upperBody;0.21008;p011;
hip;0.111972;p011;
lowerBody;0.28776;p011;
body;0.497791;p011;
lowerLegLeft;0.500205;p011;
upperLegLeft;0.44146;p011;
upperLegRight;0.441375;p011;
lowerLegRight;0.507801;p011;
forearmLeft;0.280038;p011;
upperarmLeft;0.233245;p011;
shoulderHalfLeft;0.154874;p011;
neck;0.0683826;p011;
shoulderHalfRight;0.203748;p011;
upperarmRight;0.230321;p011;
forearmRight;0.323104;p011;
shoulder;0.30832;p011;
upperBody;0.210204;p011;
hip;0.111666;p011;
lowerBody;0.288003;p011;
body;0.498167;p011;
lowerLegLeft;0.500434;p011;
upperLegLeft;0.441401;p011;
upperLegRight;0.441294;p011;
lowerLegRight;0.509203;p011;
forearmLeft;0.323431;p011;
upperarmLeft;0.233596;p011;
shoulderHalfLeft;0.153426;p011;
neck;0.0678822;p011;
shoulderHalfRight;0.203382;p011;
upperarmRight;0.229945;p011;
forearmRight;0.326019;p011;
shoulder;0.307795;p011;
upperBody;0.209361;p011;
hip;0.111481;p011;
lowerBody;0.287582;p011;
body;0.496903;p011;
lowerLegLeft;0.50055;p011;
upperLegLeft;0.44137;p011;
upperLegRight;0.441284;p011;
lowerLegRight;0.506928;p011;
forearmLeft;0.323308;p011;
upperarmLeft;0.233832;p011;
shoulderHalfLeft;0.15367;p011;
neck;0.0678399;p011;
shoulderHalfRight;0.202019;p011;
upperarmRight;0.230477;p011;
forearmRight;0.326527;p011;
shoulder;0.307242;p011;
upperBody;0.209168;p011;
hip;0.11151;p011;
lowerBody;0.28745;p011;
body;0.496579;p011;
lowerLegLeft;0.500647;p011;
upperLegLeft;0.44135;p011;
upperLegRight;0.441294;p011;
lowerLegRight;0.506073;p011;
forearmLeft;0.322385;p011;
upperarmLeft;0.233911;p011;
shoulderHalfLeft;0.148111;p011;
neck;0.0684503;p011;
shoulderHalfRight;0.209861;p011;
upperarmRight;0.230564;p011;
forearmRight;0.330243;p011;
shoulder;0.306882;p011;
upperBody;0.210294;p011;
hip;0.111346;p011;
lowerBody;0.28797;p011;
body;0.498231;p011;
lowerLegLeft;0.518322;p011;
upperLegLeft;0.441402;p011;
upperLegRight;0.441356;p011;
lowerLegRight;0.507946;p011;
forearmLeft;0.322214;p011;
upperarmLeft;0.23389;p011;
shoulderHalfLeft;0.147307;p011;
neck;0.0686058;p011;
shoulderHalfRight;0.21131;p011;
upperarmRight;0.231196;p011;
forearmRight;0.32396;p011;
shoulder;0.306167;p011;
upperBody;0.210825;p011;
hip;0.111329;p011;
lowerBody;0.288463;p011;
body;0.499256;p011;
lowerLegLeft;0.493319;p011;
upperLegLeft;0.441404;p011;
upperLegRight;0.441346;p011;
lowerLegRight;0.50459;p011;
forearmLeft;0.323542;p011;
upperarmLeft;0.234026;p011;
shoulderHalfLeft;0.148267;p011;
neck;0.0694799;p011;
shoulderHalfRight;0.214334;p011;
upperarmRight;0.231249;p011;
forearmRight;0.325828;p011;
shoulder;0.305874;p011;
upperBody;0.212968;p011;
hip;0.111327;p011;
lowerBody;0.289982;p011;
body;0.502918;p011;
lowerLegLeft;0.495693;p011;
upperLegLeft;0.441419;p011;
upperLegRight;0.441393;p011;
lowerLegRight;0.503081;p011;
