feature;value;class;
forearmLeft;0.337238;p004;
upperarmLeft;0.263034;p004;
shoulderHalfLeft;0.174115;p004;
neck;0.0800977;p004;
shoulderHalfRight;0.186223;p004;
upperarmRight;0.276159;p004;
forearmRight;0.320873;p004;
shoulder;0.348586;p004;
upperBody;0.244232;p004;
hip;0.160592;p004;
lowerBody;0.330492;p004;
body;0.57467;p004;
lowerLegLeft;0.46844;p004;
upperLegLeft;0.370402;p004;
upperLegRight;0.37802;p004;
lowerLegRight;0.477667;p004;
forearmLeft;0.334738;p004;
upperarmLeft;0.265024;p004;
shoulderHalfLeft;0.17409;p004;
neck;0.080114;p004;
shoulderHalfRight;0.185897;p004;
upperarmRight;0.275979;p004;
forearmRight;0.321835;p004;
shoulder;0.347929;p004;
upperBody;0.244318;p004;
hip;0.160556;p004;
lowerBody;0.330752;p004;
body;0.575015;p004;
lowerLegLeft;0.467744;p004;
upperLegLeft;0.371607;p004;
upperLegRight;0.378166;p004;
lowerLegRight;0.477283;p004;
forearmLeft;0.33275;p004;
upperarmLeft;0.265316;p004;
shoulderHalfLeft;0.174126;p004;
neck;0.0801511;p004;
shoulderHalfRight;0.186342;p004;
upperarmRight;0.277184;p004;
forearmRight;0.316858;p004;
shoulder;0.348129;p004;
upperBody;0.244466;p004;
hip;0.160399;p004;
lowerBody;0.331131;p004;
body;0.575545;p004;
lowerLegLeft;0.468432;p004;
upperLegLeft;0.371487;p004;
upperLegRight;0.378662;p004;
lowerLegRight;0.477015;p004;
forearmLeft;0.337063;p004;
upperarmLeft;0.266047;p004;
shoulderHalfLeft;0.173975;p004;
neck;0.0801353;p004;
shoulderHalfRight;0.186602;p004;
upperarmRight;0.27749;p004;
forearmRight;0.319933;p004;
shoulder;0.348144;p004;
upperBody;0.244433;p004;
hip;0.160598;p004;
lowerBody;0.331295;p004;
body;0.575675;p004;
lowerLegLeft;0.468185;p004;
upperLegLeft;0.371973;p004;
upperLegRight;0.378722;p004;
lowerLegRight;0.477546;p004;
