SpineBase;2018-05-29 08:40:58.609;0,1846753;-0,1716917;4,317108;Tracked;
SpineMid;2018-05-29 08:40:58.610;0,1886673;0,1895257;4,372817;Tracked;
Neck;2018-05-29 08:40:58.610;0,1924609;0,5443406;4,415906;Tracked;
Head;2018-05-29 08:40:58.610;0,165891;0,6904424;4,47093;Tracked;
ShoulderLeft;2018-05-29 08:40:58.610;0,04546323;0,3925477;4,315286;Tracked;
ElbowLeft;2018-05-29 08:40:58.610;-0,04364016;0,08046879;4,319302;Tracked;
WristLeft;2018-05-29 08:40:58.610;-0,06921583;-0,1563254;4,342255;Tracked;
HandLeft;2018-05-29 08:40:58.610;-0,06509799;-0,1893563;4,347918;Inferred;
ShoulderRight;2018-05-29 08:40:58.610;0,3185642;0,4083864;4,322028;Tracked;
ElbowRight;2018-05-29 08:40:58.610;0,4148728;0,1193464;4,341432;Tracked;
WristRight;2018-05-29 08:40:58.610;0,4395379;-0,1172855;4,366005;Tracked;
HandRight;2018-05-29 08:40:58.610;0,4208146;-0,1609435;4,36859;Inferred;
HipLeft;2018-05-29 08:40:58.610;0,1015199;-0,1667557;4,279159;Tracked;
KneeLeft;2018-05-29 08:40:58.610;0,06115014;-0,5699379;4,173645;Tracked;
AnkleLeft;2018-05-29 08:40:58.610;0,0631996;-0,9852089;4,082845;Tracked;
FootLeft;2018-05-29 08:40:58.610;0,06340096;-1,011293;3,922862;Tracked;
HipRight;2018-05-29 08:40:58.610;0,26445;-0,1733662;4,279694;Tracked;
KneeRight;2018-05-29 08:40:58.610;0,2934139;-0,5815227;4,172001;Tracked;
AnkleRight;2018-05-29 08:40:58.610;0,296136;-1,009226;4,069618;Tracked;
FootRight;2018-05-29 08:40:58.610;0,2943049;-1,035106;3,909774;Tracked;
SpineShoulder;2018-05-29 08:40:58.610;0,1915469;0,456379;4,407445;Tracked;
HandTipLeft;2018-05-29 08:40:58.610;-0,07024019;-0,2514226;4,352453;Tracked;
ThumbLeft;2018-05-29 08:40:58.610;-0,07339565;-0,1568985;4,333601;Tracked;
HandTipRight;2018-05-29 08:40:58.610;0,428204;-0,2306756;4,356672;Tracked;
ThumbRight;2018-05-29 08:40:58.610;0,406601;-0,1516943;4,342438;Tracked;
SpineBase;2018-05-29 08:40:58.648;0,1846752;-0,1716152;4,317182;Tracked;
SpineMid;2018-05-29 08:40:58.648;0,1888641;0,1895772;4,372873;Tracked;
Neck;2018-05-29 08:40:58.648;0,1930989;0,5443381;4,415909;Tracked;
Head;2018-05-29 08:40:58.648;0,1658509;0,6902225;4,473977;Tracked;
ShoulderLeft;2018-05-29 08:40:58.648;0,04455164;0,3915949;4,315821;Tracked;
ElbowLeft;2018-05-29 08:40:58.648;-0,04366216;0,08041739;4,319248;Tracked;
WristLeft;2018-05-29 08:40:58.648;-0,04780801;-0,1599356;4,321311;Tracked;
HandLeft;2018-05-29 08:40:58.648;-0,05567178;-0,1951626;4,318861;Inferred;
ShoulderRight;2018-05-29 08:40:58.648;0,3185588;0,4085319;4,322161;Tracked;
ElbowRight;2018-05-29 08:40:58.648;0,4146295;0,1175898;4,340615;Tracked;
WristRight;2018-05-29 08:40:58.648;0,4380009;-0,1193705;4,363933;Tracked;
HandRight;2018-05-29 08:40:58.648;0,4194096;-0,1617494;4,36915;Inferred;
HipLeft;2018-05-29 08:40:58.648;0,1015601;-0,1667781;4,279363;Tracked;
KneeLeft;2018-05-29 08:40:58.648;0,06109453;-0,5696471;4,173629;Tracked;
AnkleLeft;2018-05-29 08:40:58.648;0,06321486;-0,9851984;4,082839;Tracked;
FootLeft;2018-05-29 08:40:58.648;0,06313596;-1,011282;3,922854;Tracked;
HipRight;2018-05-29 08:40:58.648;0,2644192;-0,1731386;4,279717;Tracked;
