feature;value;class;
forearmLeft;0.328979;p009;
upperarmLeft;0.260818;p009;
shoulderHalfLeft;0.196143;p009;
neck;0.0859807;p009;
shoulderHalfRight;0.167004;p009;
upperarmRight;0.26155;p009;
forearmRight;0.333206;p009;
shoulder;0.272736;p009;
upperBody;0.2614;p009;
hip;0.144566;p009;
lowerBody;0.354957;p009;
body;0.616271;p009;
lowerLegLeft;0.462874;p009;
upperLegLeft;0.333543;p009;
upperLegRight;0.357781;p009;
lowerLegRight;0.42088;p009;
forearmLeft;0.328654;p009;
upperarmLeft;0.260805;p009;
shoulderHalfLeft;0.195714;p009;
neck;0.0859004;p009;
shoulderHalfRight;0.166581;p009;
upperarmRight;0.261558;p009;
forearmRight;0.33186;p009;
shoulder;0.272456;p009;
upperBody;0.261327;p009;
hip;0.145039;p009;
lowerBody;0.355041;p009;
body;0.616286;p009;
lowerLegLeft;0.462157;p009;
upperLegLeft;0.333148;p009;
upperLegRight;0.345112;p009;
lowerLegRight;0.439283;p009;
forearmLeft;0.326235;p009;
upperarmLeft;0.260826;p009;
shoulderHalfLeft;0.194705;p009;
neck;0.0858192;p009;
shoulderHalfRight;0.166504;p009;
upperarmRight;0.261496;p009;
forearmRight;0.330826;p009;
shoulder;0.271866;p009;
upperBody;0.261195;p009;
hip;0.145034;p009;
lowerBody;0.354929;p009;
body;0.616042;p009;
lowerLegLeft;0.461972;p009;
upperLegLeft;0.33244;p009;
upperLegRight;0.342887;p009;
lowerLegRight;0.443957;p009;
forearmLeft;0.339007;p009;
upperarmLeft;0.260901;p009;
shoulderHalfLeft;0.187649;p009;
neck;0.0861534;p009;
shoulderHalfRight;0.166419;p009;
upperarmRight;0.261883;p009;
forearmRight;0.332758;p009;
shoulder;0.264382;p009;
upperBody;0.262038;p009;
hip;0.145182;p009;
lowerBody;0.355532;p009;
body;0.617503;p009;
lowerLegLeft;0.460357;p009;
upperLegLeft;0.333448;p009;
upperLegRight;0.341631;p009;
lowerLegRight;0.448364;p009;
forearmLeft;0.326048;p009;
upperarmLeft;0.261205;p009;
shoulderHalfLeft;0.18775;p009;
neck;0.0861552;p009;
shoulderHalfRight;0.165511;p009;
upperarmRight;0.261537;p009;
forearmRight;0.331278;p009;
shoulder;0.262708;p009;
upperBody;0.262281;p009;
hip;0.144505;p009;
lowerBody;0.356287;p009;
body;0.61851;p009;
lowerLegLeft;0.462289;p009;
upperLegLeft;0.331107;p009;
upperLegRight;0.340288;p009;
lowerLegRight;0.450671;p009;
forearmLeft;0.332671;p009;
upperarmLeft;0.261185;p009;
shoulderHalfLeft;0.186779;p009;
neck;0.0857433;p009;
shoulderHalfRight;0.165045;p009;
upperarmRight;0.261587;p009;
forearmRight;0.33051;p009;
shoulder;0.262365;p009;
upperBody;0.261504;p009;
hip;0.144985;p009;
lowerBody;0.35579;p009;
body;0.617236;p009;
lowerLegLeft;0.461539;p009;
upperLegLeft;0.331733;p009;
upperLegRight;0.340061;p009;
lowerLegRight;0.452569;p009;
forearmLeft;0.333116;p009;
upperarmLeft;0.261026;p009;
shoulderHalfLeft;0.18522;p009;
neck;0.0857503;p009;
shoulderHalfRight;0.165786;p009;
upperarmRight;0.261548;p009;
forearmRight;0.332694;p009;
shoulder;0.262514;p009;
upperBody;0.261447;p009;
hip;0.144829;p009;
lowerBody;0.355594;p009;
body;0.616977;p009;
lowerLegLeft;0.46005;p009;
upperLegLeft;0.327371;p009;
upperLegRight;0.341541;p009;
lowerLegRight;0.450781;p009;
forearmLeft;0.337809;p009;
upperarmLeft;0.260985;p009;
shoulderHalfLeft;0.18568;p009;
neck;0.085762;p009;
shoulderHalfRight;0.16592;p009;
upperarmRight;0.261704;p009;
forearmRight;0.328839;p009;
shoulder;0.262678;p009;
upperBody;0.261481;p009;
hip;0.144696;p009;
lowerBody;0.355576;p009;
body;0.616994;p009;
lowerLegLeft;0.45992;p009;
upperLegLeft;0.329222;p009;
upperLegRight;0.341808;p009;
lowerLegRight;0.450546;p009;
forearmLeft;0.335435;p009;
upperarmLeft;0.261023;p009;
shoulderHalfLeft;0.186011;p009;
neck;0.085702;p009;
shoulderHalfRight;0.164351;p009;
upperarmRight;0.261706;p009;
