feature;value;class;
forearmLeft;0.307734;p006;
upperarmLeft;0.289308;p006;
shoulderHalfLeft;0.191932;p006;
neck;0.0824431;p006;
shoulderHalfRight;0.173387;p006;
upperarmRight;0.290128;p006;
forearmRight;0.279794;p006;
shoulder;0.291573;p006;
upperBody;0.251655;p006;
hip;0.11177;p006;
lowerBody;0.341785;p006;
body;0.593392;p006;
lowerLegLeft;0.453138;p006;
upperLegLeft;0.376133;p006;
upperLegRight;0.378464;p006;
lowerLegRight;0.458951;p006;
forearmLeft;0.304327;p006;
upperarmLeft;0.289539;p006;
shoulderHalfLeft;0.191085;p006;
neck;0.082292;p006;
shoulderHalfRight;0.171972;p006;
upperarmRight;0.29002;p006;
forearmRight;0.288516;p006;
shoulder;0.291445;p006;
upperBody;0.251236;p006;
hip;0.111253;p006;
lowerBody;0.341315;p006;
body;0.592502;p006;
lowerLegLeft;0.45423;p006;
upperLegLeft;0.374451;p006;
upperLegRight;0.377569;p006;
lowerLegRight;0.459167;p006;
forearmLeft;0.30071;p006;
upperarmLeft;0.289592;p006;
shoulderHalfLeft;0.191447;p006;
neck;0.0822637;p006;
shoulderHalfRight;0.172968;p006;
upperarmRight;0.290089;p006;
forearmRight;0.288347;p006;
shoulder;0.293819;p006;
upperBody;0.25112;p006;
hip;0.111111;p006;
lowerBody;0.341191;p006;
body;0.592258;p006;
lowerLegLeft;0.453892;p006;
upperLegLeft;0.375208;p006;
upperLegRight;0.375477;p006;
lowerLegRight;0.460513;p006;
forearmLeft;0.30468;p006;
upperarmLeft;0.28961;p006;
shoulderHalfLeft;0.189477;p006;
neck;0.0823468;p006;
shoulderHalfRight;0.171968;p006;
upperarmRight;0.290006;p006;
forearmRight;0.296828;p006;
shoulder;0.290122;p006;
upperBody;0.251361;p006;
hip;0.111291;p006;
lowerBody;0.341456;p006;
body;0.592765;p006;
lowerLegLeft;0.456547;p006;
upperLegLeft;0.372561;p006;
upperLegRight;0.377232;p006;
lowerLegRight;0.457063;p006;
forearmLeft;0.299134;p006;
upperarmLeft;0.28968;p006;
shoulderHalfLeft;0.190052;p006;
neck;0.0823283;p006;
shoulderHalfRight;0.172231;p006;
upperarmRight;0.289899;p006;
forearmRight;0.287772;p006;
shoulder;0.290332;p006;
upperBody;0.251295;p006;
hip;0.111677;p006;
lowerBody;0.34134;p006;
body;0.592585;p006;
lowerLegLeft;0.456527;p006;
upperLegLeft;0.372804;p006;
upperLegRight;0.375023;p006;
lowerLegRight;0.458693;p006;
forearmLeft;0.295702;p006;
upperarmLeft;0.289575;p006;
shoulderHalfLeft;0.188619;p006;
neck;0.0823787;p006;
shoulderHalfRight;0.172424;p006;
upperarmRight;0.289748;p006;
forearmRight;0.289037;p006;
shoulder;0.287966;p006;
upperBody;0.251444;p006;
hip;0.111626;p006;
lowerBody;0.341523;p006;
body;0.592916;p006;
lowerLegLeft;0.45586;p006;
upperLegLeft;0.37309;p006;
upperLegRight;0.374965;p006;
lowerLegRight;0.458764;p006;
forearmLeft;0.295663;p006;
upperarmLeft;0.287708;p006;
shoulderHalfLeft;0.191251;p006;
neck;0.082594;p006;
shoulderHalfRight;0.171205;p006;
upperarmRight;0.289691;p006;
forearmRight;0.292758;p006;
shoulder;0.288735;p006;
upperBody;0.251977;p006;
hip;0.111494;p006;
lowerBody;0.341963;p006;
body;0.593889;p006;
lowerLegLeft;0.457038;p006;
upperLegLeft;0.373399;p006;
upperLegRight;0.375251;p006;
lowerLegRight;0.458302;p006;
forearmLeft;0.281097;p006;
upperarmLeft;0.289502;p006;
shoulderHalfLeft;0.187902;p006;
neck;0.0825548;p006;
shoulderHalfRight;0.171531;p006;
upperarmRight;0.289586;p006;
forearmRight;0.29463;p006;
shoulder;0.285543;p006;
upperBody;0.251904;p006;
hip;0.111578;p006;
lowerBody;0.341928;p006;
body;0.593782;p006;
lowerLegLeft;0.457088;p006;
upperLegLeft;0.373937;p006;
upperLegRight;0.37504;p006;
lowerLegRight;0.458337;p006;
forearmLeft;0.286213;p006;
upperarmLeft;0.289868;p006;
shoulderHalfLeft;0.188094;p006;
neck;0.0825901;p006;
shoulderHalfRight;0.171273;p006;
upperarmRight;0.289423;p006;
forearmRight;0.294688;p006;
shoulder;0.285198;p006;
upperBody;0.251989;p006;
hip;0.111687;p006;
lowerBody;0.342151;p006;
body;0.594094;p006;
lowerLegLeft;0.4569;p006;
upperLegLeft;0.374041;p006;
upperLegRight;0.374981;p006;
lowerLegRight;0.458274;p006;
forearmLeft;0.284926;p006;
upperarmLeft;0.28944;p006;
shoulderHalfLeft;0.189187;p006;
neck;0.0828085;p006;
shoulderHalfRight;0.1717;p006;
upperarmRight;0.289385;p006;
forearmRight;0.303956;p006;
shoulder;0.281899;p006;
upperBody;0.252568;p006;
hip;0.112042;p006;
lowerBody;0.342648;p006;
body;0.595181;p006;
lowerLegLeft;0.456981;p006;
upperLegLeft;0.374211;p006;
upperLegRight;0.375538;p006;
lowerLegRight;0.457752;p006;
forearmLeft;0.291231;p006;
upperarmLeft;0.289359;p006;
shoulderHalfLeft;0.19204;p006;
neck;0.0830239;p006;
shoulderHalfRight;0.17382;p006;
upperarmRight;0.289304;p006;
forearmRight;0.298697;p006;
shoulder;0.286204;p006;
upperBody;0.253058;p006;
hip;0.111973;p006;
lowerBody;0.342863;p006;
body;0.595883;p006;
lowerLegLeft;0.456807;p006;
upperLegLeft;0.374035;p006;
upperLegRight;0.375933;p006;
lowerLegRight;0.456329;p006;
forearmLeft;0.295118;p006;
upperarmLeft;0.28984;p006;
shoulderHalfLeft;0.193529;p006;
neck;0.0828575;p006;
shoulderHalfRight;0.172553;p006;
upperarmRight;0.289294;p006;
forearmRight;0.296335;p006;
shoulder;0.28593;p006;
upperBody;0.252787;p006;
hip;0.111996;p006;
lowerBody;0.342805;p006;
body;0.595561;p006;
lowerLegLeft;0.455896;p006;
upperLegLeft;0.374407;p006;
upperLegRight;0.377194;p006;
lowerLegRight;0.455614;p006;
forearmLeft;0.286489;p006;
upperarmLeft;0.289861;p006;
shoulderHalfLeft;0.192984;p006;
neck;0.0828004;p006;
shoulderHalfRight;0.171386;p006;
upperarmRight;0.289289;p006;
forearmRight;0.293482;p006;
shoulder;0.284951;p006;
upperBody;0.252648;p006;
hip;0.111979;p006;
lowerBody;0.342692;p006;
body;0.595308;p006;
lowerLegLeft;0.45592;p006;
upperLegLeft;0.374395;p006;
upperLegRight;0.377633;p006;
lowerLegRight;0.458477;p006;
forearmLeft;0.295572;p006;
upperarmLeft;0.289889;p006;
shoulderHalfLeft;0.194959;p006;
neck;0.0826803;p006;
shoulderHalfRight;0.172152;p006;
upperarmRight;0.289191;p006;
forearmRight;0.284125;p006;
shoulder;0.287289;p006;
upperBody;0.252393;p006;
hip;0.111926;p006;
lowerBody;0.342578;p006;
body;0.594939;p006;
lowerLegLeft;0.454802;p006;
upperLegLeft;0.374477;p006;
upperLegRight;0.372586;p006;
lowerLegRight;0.463435;p006;
forearmLeft;0.299596;p006;
upperarmLeft;0.289833;p006;
shoulderHalfLeft;0.195631;p006;
neck;0.0826875;p006;
shoulderHalfRight;0.173666;p006;
upperarmRight;0.273274;p006;
forearmRight;0.291125;p006;
shoulder;0.288881;p006;
upperBody;0.252426;p006;
hip;0.111857;p006;
lowerBody;0.342644;p006;
body;0.595036;p006;
lowerLegLeft;0.455453;p006;
upperLegLeft;0.374574;p006;
upperLegRight;0.372533;p006;
lowerLegRight;0.462884;p006;
forearmLeft;0.297389;p006;
upperarmLeft;0.289417;p006;
shoulderHalfLeft;0.196646;p006;
neck;0.0823499;p006;
shoulderHalfRight;0.171425;p006;
upperarmRight;0.284511;p006;
forearmRight;0.275632;p006;
shoulder;0.290394;p006;
upperBody;0.251635;p006;
hip;0.111912;p006;
lowerBody;0.342084;p006;
body;0.59367;p006;
lowerLegLeft;0.455518;p006;
upperLegLeft;0.373231;p006;
upperLegRight;0.362903;p006;
lowerLegRight;0.472918;p006;
forearmLeft;0.301792;p006;
upperarmLeft;0.290133;p006;
shoulderHalfLeft;0.193069;p006;
neck;0.0827801;p006;
shoulderHalfRight;0.174337;p006;
upperarmRight;0.289839;p006;
forearmRight;0.276086;p006;
shoulder;0.287431;p006;
upperBody;0.252937;p006;
hip;0.111714;p006;
lowerBody;0.344042;p006;
body;0.596917;p006;
lowerLegLeft;0.448379;p006;
upperLegLeft;0.373547;p006;
upperLegRight;0.367224;p006;
lowerLegRight;0.466137;p006;
forearmLeft;0.296529;p006;
upperarmLeft;0.290112;p006;
shoulderHalfLeft;0.191824;p006;
neck;0.0826859;p006;
shoulderHalfRight;0.173961;p006;
upperarmRight;0.289843;p006;
forearmRight;0.276914;p006;
shoulder;0.28678;p006;
upperBody;0.252613;p006;
hip;0.111792;p006;
lowerBody;0.343801;p006;
body;0.596346;p006;
lowerLegLeft;0.449562;p006;
upperLegLeft;0.37361;p006;
upperLegRight;0.367256;p006;
lowerLegRight;0.470804;p006;
forearmLeft;0.299303;p006;
upperarmLeft;0.290096;p006;
shoulderHalfLeft;0.192292;p006;
neck;0.0827841;p006;
shoulderHalfRight;0.173543;p006;
upperarmRight;0.289936;p006;
forearmRight;0.278589;p006;
shoulder;0.286525;p006;
upperBody;0.252789;p006;
hip;0.111798;p006;
lowerBody;0.343878;p006;
body;0.596599;p006;
lowerLegLeft;0.448905;p006;
upperLegLeft;0.373734;p006;
upperLegRight;0.366593;p006;
lowerLegRight;0.471619;p006;
forearmLeft;0.27997;p006;
upperarmLeft;0.290175;p006;
shoulderHalfLeft;0.192879;p006;
neck;0.0829358;p006;
shoulderHalfRight;0.174382;p006;
upperarmRight;0.289865;p006;
forearmRight;0.281427;p006;
shoulder;0.287394;p006;
upperBody;0.253165;p006;
hip;0.111789;p006;
lowerBody;0.344183;p006;
body;0.597286;p006;
lowerLegLeft;0.449376;p006;
upperLegLeft;0.375404;p006;
upperLegRight;0.368892;p006;
lowerLegRight;0.468658;p006;
forearmLeft;0.288422;p006;
upperarmLeft;0.290127;p006;
shoulderHalfLeft;0.194646;p006;
neck;0.0829351;p006;
shoulderHalfRight;0.174444;p006;
upperarmRight;0.289806;p006;
forearmRight;0.280385;p006;
shoulder;0.289959;p006;
upperBody;0.253149;p006;
hip;0.111768;p006;
lowerBody;0.344187;p006;
body;0.597273;p006;
lowerLegLeft;0.451048;p006;
upperLegLeft;0.374716;p006;
upperLegRight;0.370649;p006;
lowerLegRight;0.465936;p006;
forearmLeft;0.295617;p006;
upperarmLeft;0.290109;p006;
shoulderHalfLeft;0.193759;p006;
neck;0.0829331;p006;
shoulderHalfRight;0.174243;p006;
upperarmRight;0.289184;p006;
forearmRight;0.281762;p006;
shoulder;0.289303;p006;
upperBody;0.25314;p006;
hip;0.111777;p006;
lowerBody;0.344124;p006;
body;0.597205;p006;
lowerLegLeft;0.450864;p006;
upperLegLeft;0.374836;p006;
upperLegRight;0.371449;p006;
lowerLegRight;0.464997;p006;
forearmLeft;0.300102;p006;
upperarmLeft;0.286782;p006;
shoulderHalfLeft;0.195674;p006;
neck;0.0830747;p006;
shoulderHalfRight;0.174905;p006;
upperarmRight;0.289572;p006;
forearmRight;0.283312;p006;
shoulder;0.292274;p006;
upperBody;0.253494;p006;
hip;0.111411;p006;
lowerBody;0.344447;p006;
body;0.597883;p006;
lowerLegLeft;0.451707;p006;
upperLegLeft;0.373986;p006;
upperLegRight;0.371663;p006;
lowerLegRight;0.465546;p006;
forearmLeft;0.295846;p006;
upperarmLeft;0.288273;p006;
