feature;value;class;
forearmLeft;0.339711;p004;
upperarmLeft;0.264749;p004;
shoulderHalfLeft;0.187095;p004;
neck;0.0804649;p004;
shoulderHalfRight;0.190092;p004;
upperarmRight;0.264756;p004;
forearmRight;0.346184;p004;
shoulder;0.355328;p004;
upperBody;0.251346;p004;
hip;0.161813;p004;
lowerBody;0.351139;p004;
body;0.602452;p004;
lowerLegLeft;0.435621;p004;
upperLegLeft;0.387378;p004;
upperLegRight;0.377704;p004;
lowerLegRight;0.45407;p004;
forearmLeft;0.340296;p004;
upperarmLeft;0.265164;p004;
shoulderHalfLeft;0.187178;p004;
neck;0.0804647;p004;
shoulderHalfRight;0.190228;p004;
upperarmRight;0.264715;p004;
forearmRight;0.347231;p004;
shoulder;0.355539;p004;
upperBody;0.251345;p004;
hip;0.161889;p004;
lowerBody;0.351159;p004;
body;0.602471;p004;
lowerLegLeft;0.435762;p004;
upperLegLeft;0.38738;p004;
upperLegRight;0.378372;p004;
lowerLegRight;0.453849;p004;
forearmLeft;0.339132;p004;
upperarmLeft;0.265229;p004;
shoulderHalfLeft;0.187214;p004;
neck;0.0804658;p004;
shoulderHalfRight;0.190307;p004;
upperarmRight;0.264804;p004;
forearmRight;0.346599;p004;
shoulder;0.355656;p004;
upperBody;0.251346;p004;
hip;0.161988;p004;
lowerBody;0.351178;p004;
body;0.602493;p004;
lowerLegLeft;0.435594;p004;
upperLegLeft;0.387537;p004;
upperLegRight;0.378344;p004;
lowerLegRight;0.453934;p004;
forearmLeft;0.33799;p004;
upperarmLeft;0.26519;p004;
shoulderHalfLeft;0.187321;p004;
neck;0.0804987;p004;
shoulderHalfRight;0.19052;p004;
upperarmRight;0.264789;p004;
forearmRight;0.345743;p004;
shoulder;0.355869;p004;
upperBody;0.251409;p004;
hip;0.16206;p004;
lowerBody;0.351271;p004;
body;0.602649;p004;
lowerLegLeft;0.435168;p004;
upperLegLeft;0.387923;p004;
upperLegRight;0.378731;p004;
lowerLegRight;0.45473;p004;
forearmLeft;0.3371;p004;
upperarmLeft;0.265108;p004;
shoulderHalfLeft;0.187382;p004;
neck;0.0805005;p004;
shoulderHalfRight;0.190582;p004;
upperarmRight;0.264744;p004;
forearmRight;0.345149;p004;
shoulder;0.355995;p004;
upperBody;0.251421;p004;
hip;0.162015;p004;
lowerBody;0.351301;p004;
body;0.602692;p004;
lowerLegLeft;0.43541;p004;
upperLegLeft;0.387719;p004;
upperLegRight;0.378551;p004;
lowerLegRight;0.454763;p004;
forearmLeft;0.337181;p004;
upperarmLeft;0.265054;p004;
shoulderHalfLeft;0.187281;p004;
neck;0.080507;p004;
shoulderHalfRight;0.190779;p004;
upperarmRight;0.264792;p004;
forearmRight;0.346447;p004;
shoulder;0.356049;p004;
upperBody;0.251443;p004;
hip;0.162012;p004;
lowerBody;0.351338;p004;
body;0.602751;p004;
lowerLegLeft;0.435822;p004;
upperLegLeft;0.387725;p004;
upperLegRight;0.378507;p004;
lowerLegRight;0.455178;p004;
forearmLeft;0.336574;p004;
upperarmLeft;0.264812;p004;
shoulderHalfLeft;0.187104;p004;
neck;0.0804978;p004;
shoulderHalfRight;0.190942;p004;
upperarmRight;0.264745;p004;
forearmRight;0.346148;p004;
shoulder;0.356077;p004;
upperBody;0.251424;p004;
hip;0.162021;p004;
lowerBody;0.351312;p004;
body;0.602706;p004;
lowerLegLeft;0.43582;p004;
upperLegLeft;0.387705;p004;
upperLegRight;0.3785;p004;
lowerLegRight;0.455091;p004;
forearmLeft;0.337021;p004;
upperarmLeft;0.264333;p004;
shoulderHalfLeft;0.187145;p004;
neck;0.0804991;p004;
shoulderHalfRight;0.190934;p004;
upperarmRight;0.264671;p004;
forearmRight;0.345268;p004;
shoulder;0.356079;p004;
upperBody;0.251428;p004;
hip;0.162043;p004;
lowerBody;0.351321;p004;
body;0.602718;p004;
lowerLegLeft;0.435934;p004;
upperLegLeft;0.387671;p004;
upperLegRight;0.378438;p004;
lowerLegRight;0.453776;p004;
forearmLeft;0.336422;p004;
