feature;value;class;
forearmLeft;0.320098;p006;
upperarmLeft;0.252815;p006;
shoulderHalfLeft;0.17901;p006;
neck;0.0741737;p006;
shoulderHalfRight;0.175402;p006;
upperarmRight;0.259506;p006;
forearmRight;0.304337;p006;
shoulder;0.341267;p006;
upperBody;0.226125;p006;
hip;0.112822;p006;
lowerBody;0.305075;p006;
body;0.531128;p006;
lowerLegLeft;0.456166;p006;
upperLegLeft;0.338622;p006;
upperLegRight;0.345417;p006;
lowerLegRight;0.483375;p006;
forearmLeft;0.308167;p006;
upperarmLeft;0.253245;p006;
shoulderHalfLeft;0.180949;p006;
neck;0.0752342;p006;
shoulderHalfRight;0.177507;p006;
upperarmRight;0.26091;p006;
forearmRight;0.306196;p006;
shoulder;0.342201;p006;
upperBody;0.228505;p006;
hip;0.112198;p006;
lowerBody;0.306675;p006;
body;0.535137;p006;
lowerLegLeft;0.456274;p006;
upperLegLeft;0.340491;p006;
upperLegRight;0.346458;p006;
lowerLegRight;0.482362;p006;
forearmLeft;0.310631;p006;
upperarmLeft;0.254765;p006;
shoulderHalfLeft;0.177776;p006;
neck;0.0750516;p006;
shoulderHalfRight;0.177867;p006;
upperarmRight;0.260693;p006;
forearmRight;0.305232;p006;
shoulder;0.338197;p006;
upperBody;0.228212;p006;
hip;0.112274;p006;
lowerBody;0.307038;p006;
body;0.535199;p006;
lowerLegLeft;0.459916;p006;
upperLegLeft;0.338454;p006;
upperLegRight;0.344608;p006;
lowerLegRight;0.482023;p006;
forearmLeft;0.313044;p006;
upperarmLeft;0.252879;p006;
shoulderHalfLeft;0.176633;p006;
neck;0.0749255;p006;
shoulderHalfRight;0.178237;p006;
upperarmRight;0.261001;p006;
forearmRight;0.311596;p006;
shoulder;0.337657;p006;
upperBody;0.228009;p006;
hip;0.111813;p006;
lowerBody;0.307633;p006;
body;0.535588;p006;
lowerLegLeft;0.460059;p006;
upperLegLeft;0.339292;p006;
upperLegRight;0.34489;p006;
lowerLegRight;0.48291;p006;
forearmLeft;0.309795;p006;
upperarmLeft;0.251594;p006;
shoulderHalfLeft;0.175735;p006;
neck;0.0748759;p006;
shoulderHalfRight;0.17818;p006;
upperarmRight;0.260339;p006;
forearmRight;0.312189;p006;
shoulder;0.33744;p006;
upperBody;0.228;p006;
hip;0.11199;p006;
lowerBody;0.30798;p006;
body;0.535928;p006;
lowerLegLeft;0.453344;p006;
upperLegLeft;0.340415;p006;
upperLegRight;0.342191;p006;
lowerLegRight;0.465967;p006;
forearmLeft;0.301526;p006;
upperarmLeft;0.249855;p006;
shoulderHalfLeft;0.179582;p006;
neck;0.0750741;p006;
shoulderHalfRight;0.177083;p006;
upperarmRight;0.261188;p006;
forearmRight;0.306926;p006;
shoulder;0.338535;p006;
upperBody;0.228664;p006;
hip;0.112791;p006;
lowerBody;0.308917;p006;
body;0.537537;p006;
lowerLegLeft;0.451653;p006;
upperLegLeft;0.341401;p006;
upperLegRight;0.337897;p006;
lowerLegRight;0.470085;p006;
forearmLeft;0.316819;p006;
upperarmLeft;0.248046;p006;
shoulderHalfLeft;0.177114;p006;
neck;0.0750518;p006;
shoulderHalfRight;0.18045;p006;
upperarmRight;0.25419;p006;
forearmRight;0.316561;p006;
shoulder;0.338154;p006;
upperBody;0.228728;p006;
hip;0.111867;p006;
lowerBody;0.309468;p006;
body;0.538152;p006;
lowerLegLeft;0.449178;p006;
upperLegLeft;0.343039;p006;
upperLegRight;0.336481;p006;
lowerLegRight;0.479925;p006;
forearmLeft;0.31994;p006;
upperarmLeft;0.245439;p006;
shoulderHalfLeft;0.178737;p006;
neck;0.07498;p006;
shoulderHalfRight;0.181097;p006;
