feature;value;class;
forearmLeft;0.258026;p002;
upperarmLeft;0.266396;p002;
shoulderHalfLeft;0.223387;p002;
neck;0.0888292;p002;
shoulderHalfRight;0.246214;p002;
upperarmRight;0.265898;p002;
forearmRight;0.261519;p002;
shoulder;0.285148;p002;
upperBody;0.277549;p002;
hip;0.168291;p002;
lowerBody;0.387758;p002;
body;0.665268;p002;
lowerLegLeft;0.387613;p002;
upperLegLeft;0.372925;p002;
upperLegRight;0.357671;p002;
lowerLegRight;0.397857;p002;
forearmLeft;0.25144;p002;
upperarmLeft;0.266456;p002;
shoulderHalfLeft;0.221723;p002;
neck;0.0884986;p002;
shoulderHalfRight;0.239685;p002;
upperarmRight;0.265987;p002;
forearmRight;0.263079;p002;
shoulder;0.280701;p002;
upperBody;0.276445;p002;
hip;0.168129;p002;
lowerBody;0.387189;p002;
body;0.663604;p002;
lowerLegLeft;0.385988;p002;
upperLegLeft;0.374845;p002;
upperLegRight;0.360034;p002;
lowerLegRight;0.39692;p002;
forearmLeft;0.247506;p002;
upperarmLeft;0.266533;p002;
shoulderHalfLeft;0.222725;p002;
neck;0.0885321;p002;
shoulderHalfRight;0.237995;p002;
upperarmRight;0.266009;p002;
forearmRight;0.274009;p002;
shoulder;0.281359;p002;
upperBody;0.276351;p002;
hip;0.168017;p002;
lowerBody;0.386849;p002;
body;0.663176;p002;
lowerLegLeft;0.385933;p002;
upperLegLeft;0.376057;p002;
upperLegRight;0.361861;p002;
lowerLegRight;0.395199;p002;
forearmLeft;0.254326;p002;
upperarmLeft;0.266595;p002;
shoulderHalfLeft;0.224275;p002;
neck;0.0885587;p002;
shoulderHalfRight;0.236271;p002;
upperarmRight;0.266115;p002;
forearmRight;0.285862;p002;
shoulder;0.28278;p002;
upperBody;0.276349;p002;
hip;0.167395;p002;
lowerBody;0.386653;p002;
body;0.662981;p002;
lowerLegLeft;0.384477;p002;
upperLegLeft;0.377116;p002;
upperLegRight;0.363503;p002;
lowerLegRight;0.392255;p002;
forearmLeft;0.275053;p002;
upperarmLeft;0.266919;p002;
shoulderHalfLeft;0.225123;p002;
neck;0.0885967;p002;
shoulderHalfRight;0.23743;p002;
upperarmRight;0.266311;p002;
forearmRight;0.294592;p002;
shoulder;0.285422;p002;
upperBody;0.276454;p002;
hip;0.166952;p002;
lowerBody;0.386688;p002;
body;0.663122;p002;
lowerLegLeft;0.382191;p002;
upperLegLeft;0.37877;p002;
upperLegRight;0.364392;p002;
lowerLegRight;0.389181;p002;
forearmLeft;0.281455;p002;
upperarmLeft;0.267161;p002;
shoulderHalfLeft;0.223369;p002;
neck;0.0881735;p002;
shoulderHalfRight;0.236767;p002;
upperarmRight;0.266629;p002;
forearmRight;0.295143;p002;
shoulder;0.288284;p002;
upperBody;0.275297;p002;
hip;0.167104;p002;
lowerBody;0.385394;p002;
body;0.660669;p002;
lowerLegLeft;0.379728;p002;
upperLegLeft;0.379947;p002;
upperLegRight;0.365839;p002;
lowerLegRight;0.386324;p002;
forearmLeft;0.288142;p002;
upperarmLeft;0.266954;p002;
shoulderHalfLeft;0.221506;p002;
neck;0.0878415;p002;
shoulderHalfRight;0.233806;p002;
upperarmRight;0.26693;p002;
forearmRight;0.293871;p002;
shoulder;0.288749;p002;
upperBody;0.274255;p002;
hip;0.167307;p002;
lowerBody;0.383944;p002;
body;0.658179;p002;
lowerLegLeft;0.378061;p002;
upperLegLeft;0.379409;p002;
upperLegRight;0.365092;p002;
lowerLegRight;0.385685;p002;
forearmLeft;0.304204;p002;
upperarmLeft;0.266466;p002;
shoulderHalfLeft;0.21837;p002;
