feature;value;class;
forearmLeft;0.353316;p005;
upperarmLeft;0.327989;p005;
shoulderHalfLeft;0.215093;p005;
neck;0.0928379;p005;
shoulderHalfRight;0.231597;p005;
upperarmRight;0.294095;p005;
forearmRight;0.347647;p005;
shoulder;0.265239;p005;
upperBody;0.292365;p005;
hip;0.125773;p005;
lowerBody;0.413769;p005;
body;0.706091;p005;
lowerLegLeft;0.274161;p005;
upperLegLeft;0.461746;p005;
upperLegRight;0.466724;p005;
lowerLegRight;0.277782;p005;
forearmLeft;0.353246;p005;
upperarmLeft;0.327994;p005;
shoulderHalfLeft;0.215035;p005;
neck;0.0928326;p005;
shoulderHalfRight;0.231576;p005;
upperarmRight;0.294093;p005;
forearmRight;0.354746;p005;
shoulder;0.265219;p005;
upperBody;0.292352;p005;
hip;0.125767;p005;
lowerBody;0.413761;p005;
body;0.70607;p005;
lowerLegLeft;0.274158;p005;
upperLegLeft;0.461016;p005;
upperLegRight;0.466674;p005;
lowerLegRight;0.277329;p005;
forearmLeft;0.35277;p005;
upperarmLeft;0.327915;p005;
shoulderHalfLeft;0.214955;p005;
neck;0.0928335;p005;
shoulderHalfRight;0.23156;p005;
upperarmRight;0.294109;p005;
forearmRight;0.353247;p005;
shoulder;0.265167;p005;
upperBody;0.292364;p005;
hip;0.125773;p005;
lowerBody;0.413813;p005;
body;0.706134;p005;
lowerLegLeft;0.273927;p005;
upperLegLeft;0.461171;p005;
upperLegRight;0.466596;p005;
lowerLegRight;0.277494;p005;
forearmLeft;0.351863;p005;
upperarmLeft;0.327874;p005;
shoulderHalfLeft;0.214801;p005;
neck;0.0928209;p005;
shoulderHalfRight;0.231541;p005;
upperarmRight;0.294064;p005;
forearmRight;0.353405;p005;
shoulder;0.265081;p005;
upperBody;0.292329;p005;
hip;0.125744;p005;
lowerBody;0.413774;p005;
body;0.70606;p005;
lowerLegLeft;0.273993;p005;
upperLegLeft;0.461108;p005;
upperLegRight;0.466523;p005;
lowerLegRight;0.277466;p005;
forearmLeft;0.351275;p005;
upperarmLeft;0.327575;p005;
shoulderHalfLeft;0.214971;p005;
neck;0.0928203;p005;
shoulderHalfRight;0.231533;p005;
upperarmRight;0.294191;p005;
forearmRight;0.353682;p005;
shoulder;0.265219;p005;
upperBody;0.292331;p005;
hip;0.125738;p005;
lowerBody;0.413785;p005;
body;0.706073;p005;
lowerLegLeft;0.273895;p005;
upperLegLeft;0.460947;p005;
upperLegRight;0.466363;p005;
lowerLegRight;0.277542;p005;
forearmLeft;0.351786;p005;
upperarmLeft;0.327516;p005;
shoulderHalfLeft;0.215159;p005;
neck;0.0928209;p005;
shoulderHalfRight;0.231608;p005;
